date,Market,High Advocacy,High Upskilling,High Adaptation-change,High Innovation,Low Advocacy
2022-02-28,1.2006609011211546,1.1045481687735113,1.2842937070621676,1.3258451309000958,1.295037731010145,1.312306397898016
2022-03-31,1.182170723243889,1.136348010974031,1.2982329596331197,1.3170184778503649,1.3292199051518008,1.315880494584518
2022-04-28,1.0820408629851315,1.1098559116917188,1.2628413865464136,1.2984118113734537,1.304798066362794,1.2818217642323102
2022-05-31,1.0959991901176396,1.1160660252138013,1.306444747413304,1.3172243533384835,1.313646976095395,1.299843704898217
2022-06-30,1.0219096448656873,1.1244006616708968,1.3084957171573484,1.3177449513148833,1.3155168883500952,1.308811529518132
2022-07-29,1.080669449445464,1.1865664509808356,1.3502117201262407,1.365670077669422,1.374128234124891,1.3460259145464428
2022-08-31,1.0491139015216564,1.2237026332517118,1.3927684937985718,1.3892085435241979,1.3905852648440666,1.3705500971656355
2022-09-30,0.95385435926349,1.1923398424584293,1.3101745638850524,1.3319235848650892,1.3294381015196406,1.3153665223953908
2022-10-31,0.9746483842954342,1.2228765912797368,1.3908869322381405,1.3822002034227774,1.3635179918776577,1.377711055996302
2022-11-30,1.0768889998080253,1.2546989423803951,1.427587385509842,1.398597328211968,1.3936252205002042,1.3977600286318335
2022-12-30,1.0822734448070657,1.2034004257238506,1.3674894355759855,1.3289784304861463,1.3442340047999268,1.3318563820451412
2023-01-31,1.1372529358032646,1.2425334694107248,1.4258687922370477,1.382122019740629,1.3814208293740051,1.3870149510879317
2023-02-28,1.0960843795271864,1.2447905737488354,1.480672798536884,1.4076161864608137,1.4076876978200195,1.4234330481427195
2023-03-31,1.1435448331607136,1.2606698811027817,1.512484688551698,1.4408248481625685,1.423998604222775,1.4579524378596418
2023-04-28,1.1444596690272422,1.3245812222958593,1.5412473661750372,1.4818061373801061,1.4775938113074099,1.4959055291593912
2023-05-31,1.154530914114682,1.3276066161428175,1.5590396251156506,1.5220203328602993,1.4866839097661197,1.537884468375238
2023-06-30,1.200134885222212,1.4112785050616472,1.670202779048298,1.6052309369787117,1.579517819812039,1.6286828676193228
2023-07-31,1.2348187834051338,1.4306029522134596,1.7061553995763663,1.6297336094130512,1.6083336175394465,1.6676899801202028
2023-08-31,1.2128390090605223,1.4520856683785592,1.740219058712701,1.6888951100666796,1.6386935566620555,1.691707139583848
2023-09-29,1.1880970932756876,1.4402378576279047,1.7253027805449923,1.665566742509612,1.643678711347123,1.6770167305173365
2023-10-31,1.1347515337876093,1.4029866761083731,1.6495943355190275,1.6089569704898325,1.5966095958390536,1.5879178371472038
2023-11-30,1.2248508055703453,1.4637501366496748,1.7482592453398986,1.6798325537855103,1.6553232849736665,1.6756294083902052
