date,Market,High communities,High employees,High suppliers,High shareholders,High customers,Low communities
2020-12-30,1.8367411003466532,1.894605167616961,2.1694582155029707,2.144630989532925,2.287923902311915,2.305492897330207,2.42161077046024
2021-01-29,1.8141491848123894,1.9566663412860232,2.1970840905048505,2.17965215845349,2.288140612745119,2.3276616499055183,2.4221642892071173
2021-02-26,1.8348304855192508,2.0522366176494002,2.175033799573954,2.23677601717473,2.3811608396446435,2.3817141236266663,2.417629150988403
2021-03-31,1.861252044510728,2.19279942007422,2.3929356155120263,2.4792749921902195,2.5540778611999615,2.5889285608897183,2.6546204778855147
2021-04-30,1.8318442622074584,2.137890412650491,2.333489654657711,2.4338186930009016,2.503028739077782,2.521549160938534,2.60156488708127
2021-05-31,1.8475981228624425,2.1256682975256074,2.2974726843205917,2.483682852058624,2.5844416022051444,2.5701453130448475,2.587902296532454
2021-06-30,1.84870668173616,2.1834473948999773,2.302785758823719,2.5172729638086544,2.6232652269736993,2.6193363088828754,2.6119598480257835
2021-07-30,1.8285557789052358,2.1446646402052294,2.290681199871644,2.443360851433811,2.5692515105432605,2.5545294863176533,2.588813360578157
2021-08-31,1.8808524741819255,2.180920006993542,2.3702890011710407,2.4547107166137128,2.6348081498669913,2.6617507597773264,2.6644672550019113
2021-09-30,1.9369018779125469,2.22103230931387,2.453960458785687,2.546667331739373,2.6835282975068346,2.7315598421835765,2.741464817901011
2021-10-29,1.8629122261762876,2.169979530684523,2.404094190132298,2.521753294995294,2.680836014350242,2.6521024555817716,2.6930001886668817
2021-11-30,1.80851518917194,2.017900745073549,2.317327077456265,2.387314996947405,2.539090020873137,2.475355937320725,2.5834002175353286
2021-12-30,1.8322067381500922,2.107463015581728,2.4147125661083795,2.491594034654208,2.6684371254108594,2.5689910130975653,2.675130472674079
2022-01-31,1.7380313118091775,2.0291032890037886,2.297966880536767,2.3933982037739017,2.5140874369278072,2.4588198297959143,2.5249853741682244
2022-02-28,1.73281721787375,2.0520446306669724,2.3301051477522563,2.363747210227778,2.5497725382858656,2.5043434843534444,2.5388449085743128
2022-03-31,1.7061318327184942,2.084612053561877,2.361852616026493,2.412445612799689,2.570039989779187,2.5502714810268095,2.5658409246948843
2022-04-28,1.5616224664872378,2.0483015538728253,2.3278783900006395,2.3133381460322338,2.4760412543644104,2.5213742079075723,2.5392752382575843
2022-05-31,1.581767396304923,2.0926555544014374,2.4100900573800104,2.363114236607307,2.5073015487531114,2.481440929579822,2.5606873787280144
2022-06-30,1.4748399203147102,2.1101897067468585,2.380010136927129,2.3547388894489836,2.504723810484429,2.5224821375270925,2.5344326192220534
2022-07-29,1.559643215732806,2.2006436175057233,2.4657881889097264,2.4368622818463685,2.6077657923631783,2.6176901195056184,2.636086697723173
2022-08-31,1.5141016338334081,2.2519517658936152,2.5172064245180046,2.509342346743937,2.6765935952423736,2.6216825728466135,2.6614185805409347
2022-09-30,1.3766212054813347,2.1437740360411617,2.3969658178706426,2.3794108624806634,2.5445936000137106,2.5487024668678564,2.533451945176679
2022-10-31,1.4066315477608278,2.2152024870064126,2.521641288547116,2.508247796344178,2.644545396445445,2.635632102758396,2.6585271412351
2022-11-30,1.5541871971209387,2.2413386225269822,2.562630210163844,2.5525570324024227,2.69770921051675,2.7201607588993033,2.675541320835132
2022-12-30,1.5619581331065435,2.1409671809318684,2.463227078995799,2.3878815163612055,2.5217748550858854,2.6302337436200243,2.5621690139369533
2023-01-31,1.6413056062683558,2.2095736990308628,2.579585131643396,2.5153465700563853,2.6462108969989373,2.7188357189098267,2.6761340900084907
2023-02-28,1.5818903433214413,2.2774600730757233,2.6405036786904064,2.5776451483006637,2.691743625371161,2.746535946598289,2.7269363787796097
2023-03-31,1.6503861951872598,2.3100168316056218,2.7031708095159086,2.646150200427126,2.754985438752481,2.817657188271966,2.802418224475163
2023-04-28,1.6517065041434096,2.4063598469254055,2.7811061498128247,2.7157481761391926,2.8232878073394074,2.933579179726413,2.9032156203659163
2023-05-31,1.6662415213798718,2.402584933777304,2.797412012220297,2.790747244702072,2.920456976807819,2.9904128221888904,2.9731102729680274
2023-06-30,1.7320580614743768,2.5506303296861255,3.017530485008773,3.002562749083366,3.125704017365217,3.215613603501053,3.229658377155539
2023-07-31,1.782114539450986,2.608493097718508,3.0619546734438408,3.0349050907749793,3.157960856188761,3.2812405776515896,3.291300347352462
2023-08-31,1.7503929006487584,2.664650497376015,3.088650454372641,3.1052619891934095,3.27401905551928,3.3890552176139486,3.3752646409230094
2023-09-29,1.7146848854755237,2.6370674592751415,3.0714148848778726,3.099170911434202,3.2729136501714633,3.361757595790481,3.335219706562457
2023-10-31,1.6376955341176727,2.5737017393773316,2.9068049558430076,2.9456681213171847,3.1841721308232507,3.2713051063368423,3.202090421755047
2023-11-30,1.7677285595266157,2.667829788195292,3.035890331113335,3.1158005647405913,3.3854006670965133,3.3961650468043887,3.347773777168817
2023-12-29,1.8520492118160354,2.689779576609176,3.0162804030113013,3.070632281665149,3.385081544976154,3.3929046951622253,3.3148222777948755
2024-01-31,1.908721917697606,2.81440970901867,3.1821331318387083,3.2388765904890477,3.5796719691561405,3.5339328502538474,3.502576355007996
2024-02-29,1.9642657255026061,2.884437908329476,3.321067708087035,3.3857830870553682,3.697793169860555,3.6972205044969897,3.6908120968557556
2024-03-29,2.0288900678716417,3.0150844430773946,3.4771389092084317,3.601243696768322,3.849512368134876,3.836500364184642,3.8765009300497395
2024-04-30,1.9164895581115529,3.007992085312346,3.4661318505931162,3.578426811875068,3.9055695029487003,3.750875327986944,3.8803642037362565
2024-05-31,1.9345045599578012,2.982331036428789,3.4729230835017866,3.526614250102204,4.018220053737803,3.7523737127152206,3.9271851186949838
2024-06-28,1.9219302803180753,3.000428808483236,3.4807612563581176,3.5455734804147343,4.063559078028974,3.813634768324071,3.9247126738056846
2024-07-31,2.0497386439592273,3.056899150645786,3.48509382852306,3.5090021138886307,4.05661659848417,3.8778748848390117,3.893968276944633
2024-08-30,2.050353565552415,3.0659831794295718,3.401640724088973,3.346024320608033,3.8935966639308335,3.8936905952819103,3.7683721533779795
2024-09-30,2.057119732318738,3.1061102389802637,3.414052494869939,3.3309561202687186,3.9221511262674893,3.919996413159941,3.7509267320464317
2024-10-31,1.9775091986780027,3.085314969604217,3.4731876890051616,3.4090576463727826,3.8880699185880725,3.8628526599208373,3.7706138272435124
2024-11-29,1.99392252502703,3.0320149879004776,3.466315360650717,3.287151730220576,3.7948616597300284,3.839621495284227,3.7201227621028266
2024-12-30,1.9775723603218085,3.0882153680824587,3.6056066658094768,3.483407706910272,3.9627887904447876,4.004815810675978,3.907562807560495
