date,High communities,High employees,High suppliers,High shareholders,High customers,Low communities
2018-09-28,0.48642858469693256,0.5353081260653387,0.32813153106859616,0.31384337599085865,0.6072606652064195,0.3343923481255936
2018-10-31,0.24507692940033454,0.3157587565962315,0.09606050191686866,0.11096597502977967,0.3500938773835822,0.15258718795803194
2018-11-30,0.3484357868701832,0.374123467945789,0.19564434075206333,0.2752998888743269,0.4452915157211114,0.338646337987837
2018-12-28,0.09560573931088262,0.10313982691648549,-0.006158732632462305,-0.0016307008014712632,0.08981893124593254,0.05493031651985436
2019-01-31,0.11930416524559606,0.07157280493768037,0.10507176215058311,0.10989968978358378,0.09673347251697462,0.05213301539072268
2019-02-28,0.2189164286956008,0.11322650388099298,0.16866022717374562,0.14870226039498813,0.13119337141027054,0.12539467933674942
2019-03-29,0.1827731904451131,-0.0037306488699924145,0.08805616675515116,0.08403713620631403,0.06874822662121172,0.044238750475903754
2019-04-26,0.3018680822270108,0.106269030805072,0.2717636979751496,0.2940724289360267,0.20747497305479334,0.2662989057747108
2019-05-31,0.08101311772772235,-0.10653294599002128,0.03266580174271694,0.09331063594414768,0.07248022537625487,0.02883475488409415
2019-06-28,0.27202061028457336,-0.010513852356809517,0.14330803872060394,0.20108541260183438,0.14350755506716872,0.1831779613989279
2019-07-31,0.21302020248001668,0.06211722528337538,0.202047198431076,0.2436362413847798,0.14251755115065873,0.2222003891588163
2019-08-30,0.26832340937283494,0.0983467017946652,0.27711079089998986,0.3153392073519783,0.1614261901140952,0.3257693308779791
2019-09-30,0.17148084108032124,-0.05972122206413566,0.21035950281593918,0.17045621310780984,0.01935916475312882,0.16451775091867266
2019-10-31,0.3376092250753299,0.14796536425749882,0.4065102461553669,0.35100341867441676,0.16867962873132858,0.3666563554401558
2019-11-29,0.4734466611442844,0.21493621606888516,0.5343222351549575,0.44924396403264427,0.2838185058577126,0.42343526667304776
2019-12-30,0.49701858305111146,0.1383812163360948,0.4039815619252738,0.35573966392374035,0.2665526588066917,0.33807437011986363
2020-01-31,0.44670236434216387,0.12690430609030148,0.368835775760578,0.33448956802429897,0.22008400916417556,0.3201684831150118
2020-02-28,0.3730150535769732,0.05589384498799943,0.32086340906274474,0.294887812696383,0.17715237632693193,0.2819189638666006
2020-03-31,0.04834651597206305,-0.16198043208869006,0.048098653521653684,-0.017050034785282414,-0.01646914172655861,0.07681843563888549
2020-04-30,-0.04489214479470602,-0.25437094392202375,0.02620277301072982,-0.10173022879868804,-0.08493772416127804,-0.022569753705763695
2020-05-29,0.06870355705792144,-0.11670562063094575,0.1427695030303046,0.00588148203079325,0.03769316348999335,0.07636136477943734
2020-06-30,0.10600438995399741,-0.11243124220027373,0.06007933584580377,-0.03297949319716598,0.05480791669262669,0.03194868458671979
2020-07-31,0.08831090499825553,-0.18422806946557954,-0.047037766453835284,-0.057518045898174774,0.045682023991361176,-0.02199735264621444
2020-08-31,0.023037182567918008,-0.2723341408258826,-0.042798544205640415,-0.05324401139190019,-0.03728864136415588,-0.11744028463244446
2020-09-30,0.05248202068985544,-0.2732146925073823,-0.006265808713525695,0.00243307415924221,0.02021973264079746,-0.0813382534768507
2020-10-30,-0.06630309951068253,-0.29846897895128743,-0.08345920957156694,-0.06630291352860374,-0.11465788054219295,-0.15261444261798723
2020-11-30,0.07919208420248955,-0.20143697499486707,0.05937688468485147,0.0044527387255622886,-0.006954790647717368,-0.05852015353250295
2020-12-30,0.052557562970846655,-0.26119210564314593,0.13741489206223004,-0.04343359710183592,-0.012440051084544712,-0.07897481425535821
2021-01-29,0.1615854380800793,-0.2234597272235457,0.19140426677558245,-0.0835918387734146,0.03673975112840297,-0.028983357764054366
2021-02-26,0.23856488891413324,-0.47915704258221614,0.09167667766617066,-0.0278723687052014,0.02936678624630437,-0.20874678276623024
2021-03-31,0.3454128734600206,-0.12522787689391435,0.39938248555237593,0.12858580045111576,0.2489611893574762,0.08866708066389706
2021-04-30,0.37674259483134237,-0.044194285488906804,0.48365165026987356,0.14542298713616938,0.3016965072007388,0.14612911408599544
2021-05-31,0.45611449696306056,0.006549828205656444,0.5826041183326516,0.33678416744813955,0.4887903604449998,0.23782098223403658
2021-06-30,0.5476701535421895,0.09962717411070343,0.749169647843752,0.453902928887818,0.6146070975661296,0.3682128460521504
2021-07-30,0.3807484193233066,0.06550853338488705,0.5731812549178736,0.3577844801690272,0.4043789122361382,0.3063481274833052
2021-08-31,0.28512113499561265,0.0342094706564407,0.4749781415910238,0.3344800254220173,0.3886897644339095,0.2521277811441359
2021-09-30,0.24104822997067285,0.01560689033040863,0.4341972031147857,0.22784729100750306,0.3821024365354552,0.2479436782854077
2021-10-29,0.21991128358544001,0.06776666465082443,0.448613754235453,0.31668221867798546,0.3713336679171322,0.28655191838458155
2021-11-30,0.18447194092386301,0.060817925130013384,0.4302982692941208,0.31074687990347993,0.29307426917724516,0.27590917695318296
2021-12-30,0.1395247643544132,0.09237542261224888,0.41466071023483186,0.3483636399090354,0.2847199908154877,0.304543614548022
2022-01-31,0.061854688454891366,0.039981776492591575,0.33742392202209914,0.305967339764596,0.2173048065572574,0.2525889550549827
2022-02-28,0.11716802502629065,0.07166394540833496,0.2765601495349973,0.3449188769061511,0.2911406140271836,0.28786472922955314
2022-03-31,0.17511670585162276,0.15059612732361777,0.3843817566714316,0.3973545022855396,0.369549340367342,0.326163558054527
2022-04-28,0.4249365512651206,0.4731926233215224,0.5995928723522044,0.6526116589521285,0.6558858654610051,0.6673059773764186
2022-05-31,0.4171853400197477,0.5202727477632122,0.5719104423462691,0.5912695484906064,0.5555581827667786,0.6207249223174813
2022-06-30,0.47089578239043306,0.6357922093858175,0.7182560886286815,0.7476789351564803,0.7119669744148465,0.70948462646802
2022-07-29,0.469453706623823,0.6160400611219276,0.6561003372146959,0.7230118775730459,0.7049368498915382,0.6838500450496651
2022-08-31,0.4933271091947298,0.6809608184777751,0.7494937644622699,0.8009836483400339,0.6681480048170809,0.6667190076774009
2022-09-30,0.7086226237170011,0.9361134957879615,0.9974614072137141,1.0743858660586267,0.9025852660074276,0.9207875441785981
2022-10-31,0.7277421668471499,1.0080019443224901,1.073677280686791,1.1041445980413251,0.915841432601971,0.9762856049971593
2022-11-30,0.6072202117836535,0.7539304120859458,0.8042648223310676,0.8874370517570637,0.7750535695884277,0.7380855083234887
2022-12-30,0.43488429425136843,0.6895179748713716,0.6362227581585742,0.7299940934972124,0.6622532343943894,0.6276875534730797
2023-01-31,0.3532218954163443,0.5999868263403213,0.5530477113194343,0.657084900305372,0.5664785914031438,0.5317805547044858
2023-02-28,0.3837943751327525,0.6335513872854189,0.5906007811512441,0.7226766116254977,0.5578739629580436,0.5652327500041652
2023-03-31,0.3179450881276066,0.6068673061056673,0.5478079059231729,0.6577191115211841,0.5485494947764545,0.540273323008299
2023-04-28,0.43309656373532945,0.6868779325928693,0.6078828199367767,0.7284023023371896,0.6611988073532968,0.635971796622832
2023-05-31,0.5246061449296271,0.7643486708918211,0.7469222309589093,0.8766175707766323,0.7915235820295754,0.75257087797394
2023-06-30,0.6501424863965373,0.9418774200354645,0.8717944566847164,1.0079547813838567,0.9474219241017967,0.9302355562332743
2023-07-31,0.7603743739310824,1.15262845811984,1.025797017970247,1.162757613506019,1.000644477676424,1.1134093206911226
2023-08-31,0.8038576607700869,1.138896548616171,1.046436633985663,1.188462618978268,1.0220695759679976,1.128161823331968
2023-09-29,0.6315679737723976,1.0454727496602874,0.943238354710015,1.1151105797697471,0.8918383906966734,1.0214549695211037
2023-10-31,0.6998370944760621,0.9799473339910331,0.9143056863350202,1.1487932042258366,0.9263570949928354,1.021267164166143
2023-11-30,0.9179672285243268,1.1078809525238267,1.125463127681587,1.3633147997381894,1.0668572256657953,1.1565178784640457
