date,Market,High transformation,High esg_sp,High preparation,Low advocacy
2021-08-31,2.282023853619977,2.6886837540857225,2.026178437847179,2.017198270200489,2.301587918127311
2021-09-30,2.184353232685042,2.568824205141996,1.9379433234331154,1.9142646913071502,2.1929662421551925
2021-10-29,2.330049593305134,2.675168370004261,2.056355096358602,1.998613537206042,2.2589073522871055
2021-11-30,2.287642690706981,2.5989153753372705,1.981947889683431,1.9242540532311243,2.187329478175849
2021-12-31,2.3677101848817252,2.747977701001796,2.1136363082514853,2.0409129631191347,2.3046305955962056
2022-01-31,2.231803620269514,2.6221635209039937,2.091500190009508,1.9417571954423987,2.218183648649164
2022-02-28,2.182257579899531,2.582569496556812,2.061002384919762,1.9378369478654587,2.20782129364362
2022-03-31,2.2538356285202354,2.6658879034097747,2.1394880207546523,1.9814061530923477,2.271014884540761
2022-04-29,2.048961969887746,2.4892446155696013,1.9987379654712167,1.8687977613744469,2.132194902561202
2022-05-31,2.047117904114847,2.5281341617769537,2.0372042453245562,1.9155080288111777,2.182814390436913
2022-06-30,1.8751600001692,2.278056813906333,1.8185702210494517,1.7223508588508798,1.9439000727977918
2022-07-29,2.049924912184969,2.5012221263234573,1.9343390535594638,1.897267326431321,2.133895829705588
2022-08-31,1.9765376003287474,2.4287543003424252,1.9031254863698397,1.8377737639152132,2.0894241891930045
2022-09-30,1.7964750249387986,2.201597827158947,1.7484004068284602,1.6702027390873355,1.9023542037796588
2022-10-31,1.9436063294812864,2.4291852601662787,1.95903466152826,1.822005522592139,2.1238144636622134
2022-11-30,2.04292461291778,2.5778662039510367,2.080983496206035,1.9376001141965495,2.250031767792939
2022-12-30,1.9209620135265884,2.444768608386768,1.9879307621377855,1.8558602096962313,2.1418945024947695
