region,sample,year,n_listing_months,n_firms,mean,total,p1,p5,p10,p25,p50,p75,p90,p95,p99
Europe,Compustat n LC (gvkey),2021,22202,1922,6138554598.325057,136288189192012.9,7283037.0188394,25793681.0592102,52612686.81394499,171580123.7249724,724618839.7051618,3245871708.2354965,12887187643.527126,29391110967.91511,95131282628.63261
Europe,Compustat n LC (gvkey),2022,22556,1915,5169472856.592905,116602629753309.56,5546041.232054284,19404347.82085898,37640415.39274075,130218763.8192585,529600599.14569646,2346910919.4500055,9989670824.190712,24058733898.60489,90348930093.56961
Europe,Compustat n LC (gvkey),2023,22087,1876,5630248610.618572,124355301062732.4,4597608.80267598,15956128.192180298,32164257.786997445,112842920.94745806,511332931.228266,2441250648.615131,10465763931.584743,25575601653.76352,97086403220.5182
Europe,Compustat n LC (gvkey),2024,21438,1829,6190458250.285947,132711043969630.12,3494668.449775611,14274098.71793955,30452882.36480185,112956004.38051924,555892472.491925,2640660554.4724903,11562136547.539461,28926713540.01988,107233089393.92412
Europe,"Compustat x LC (gvkey,fiscal-year)",2017,3879,650,11582768569.44195,44929559280865.32,68081970.7392,270232135.90477926,512181054.1005553,1168093363.5500698,3382317386.9098663,9787852099.197845,30054895058.208794,58012662462.356705,122844346350.02505
Europe,"Compustat x LC (gvkey,fiscal-year)",2018,8466,843,10581190363.073256,89580357613778.19,52927580.160000004,222228783.074205,392119969.9148655,923670052.0534072,2905239350.867922,9212507708.148638,27862302016.814587,52411189345.751884,112023634008.01567
Europe,"Compustat x LC (gvkey,fiscal-year)",2019,9571,950,9141580754.51272,87494069401441.25,42694562.1505032,162468263.86952358,289125881.1940488,673619971.5870435,2203579620.0,7725727759.895281,23043021725.635036,43693856834.754364,113738702816.31322
Europe,"Compustat x LC (gvkey,fiscal-year)",2020,10403,1006,8166733546.030417,84958529079354.44,29502986.57927937,99423810.37654388,200777945.9556054,520956083.27680004,1682721406.8172863,6701328019.8669,21356044089.723568,38227877221.615105,97364964387.87816
Europe,"Compustat x LC (gvkey,fiscal-year)",2021,11826,1181,9999623855.111185,118255551710544.88,33798220.56553736,111785949.53817874,222845706.8032,624832181.3218567,1940541972.9278798,7743625759.306196,24856376998.925705,50134767612.56637,121920692338.03613
Europe,"Compustat x LC (gvkey,fiscal-year)",2022,13920,1411,7716026976.079372,107407095507024.86,17940728.549190186,59321179.010543935,104305206.60000001,339719293.66162735,1150804098.1503,4624965572.789374,16693166216.027676,37495960791.25164,113152843518.24814
Europe,"Compustat x LC (gvkey,fiscal-year)",2023,16341,1668,7127292690.536245,116467089856052.78,6648053.967553991,23745700.151355,53564396.53768,192107311.356,807642442.7946593,3763295470.7434797,14204889031.1658,33207169785.365158,109018980195.09607
Europe,"Compustat x LC (gvkey,fiscal-year)",2024,15248,1654,7274446380.123579,110920758404124.33,5522100.557739263,20349143.331688076,47994742.0281982,184731527.67954463,849781170.81174,3820461673.996767,14316183549.082867,34514325025.01374,123086845615.23567
Japan,Compustat only,2016,41812,3553,156083184702.84564,6526150118795382.0,1048916692.0,1868148952.8,2773764000.0,5657750000.0,16657144944.0,68488508423.25,291180307449.6,621687124728.0,2702736288067.5054
Japan,Compustat only,2017,42491,3612,181836354497.9259,7726408538971370.0,1368750500.0,2441423486.0,3546067272.0,7452808000.0,21275488800.0,84464227084.0,340067024360.0,731521081000.0,3236143447032.5977
Japan,Compustat only,2018,43281,3691,189397860658.7051,8197328807169416.0,1421813525.0,2599209900.0,3781857500.0,7924902400.0,22770000000.0,86909104800.0,348273097800.0,769696582428.0,3487375811491.9863
Japan,Compustat only,2019,43951,3737,175212594450.6172,7700768738699076.0,1208867140.0,2257288800.0,3255000000.0,6642200000.0,19308721500.0,72746491540.5,315876465520.0,700765849275.5,3401942239852.25
Japan,Compustat only,2020,44600,3806,171919054628.58447,7667589836434867.0,1072867324.32,2084879156.25,2986368000.0,6284870567.0,18268347657.0,67656612000.0,282314662380.4999,680869319591.0485,3255133702568.4272
Japan,Compustat only,2021,45424,3892,200309493243.9514,9098858421113248.0,1317246091.7,2392619340.3,3352560979.6,6846603375.0,20198414670.0,74383610947.75,316912035107.00006,789734860111.9999,3712120616450.801
Japan,Compustat only,2022,46113,3948,191801456063.19928,8844540543442308.0,1253116688.0,2079013334.0,2917671800.0,5865659800.0,18159037596.0,67275000000.0,290863002987.00006,726299910561.6006,3659256531458.5547
Japan,Compustat only,2023,46542,3991,214711664742.7435,9993110300456768.0,1375618794.4,2246223578.8,3111997620.0,6196259700.0,19870673362.5,75327483285.0,317726084100.00006,773313525623.0992,3937413040220.098
Japan,Compustat only,2024,46784,4038,256144893582.2423,1.1983482701351624e+16,1405824157.0,2217056760.0,3048579860.0,6281216625.0,20337727343.0,85054053760.0,350452546176.50104,843529544821.999,4882551445234.642
Japan,Compustat n LC (gvkey),2016,11440,961,332069116071.50146,3798870687857976.5,1913379350.0,4125564000.0,6590513241.0,20097853206.0,69718595264.0,235318253573.75,742293175724.4,1578537016344.4983,3896438767072.4443
Japan,Compustat n LC (gvkey),2017,11550,967,393861082963.6618,4549095508230294.0,2513244000.0,4912240174.8,8921811153.6,27364823775.0,89408086997.5,289738201182.5,917988712454.6006,1796968523693.696,4614273426539.44
Japan,Compustat n LC (gvkey),2018,11621,976,415363977053.81396,4826944777342372.0,2601788800.0,5300177300.0,9070384400.0,28624234680.0,93824742000.0,305970000000.0,939840163748.0,1976217042438.0,4873794962945.999
Japan,Compustat n LC (gvkey),2019,11720,984,388056633320.90173,4548023742520968.0,2248595616.0,4284724360.0,7224068730.000001,23052431692.5,76534211747.0,266851091200.5,844499347892.0009,1766864031463.574,4862459079535.993
Japan,Compustat n LC (gvkey),2020,11779,987,395215247522.95984,4655240400572944.0,1832070232.86,3975959791.7999997,6719919999.999999,21475164514.5,68977320906.0,243668706930.0,834437412000.0,1861119740291.002,5594053319630.547
Japan,Compustat n LC (gvkey),2021,11827,992,487254157669.1595,5762754922753149.0,2028138569.72,4615899200.000001,7172724420.8,24443934800.0,80392544848.0,292836545857.0,1035214676000.7998,2314990094423.9956,6888300497714.159
Japan,Compustat n LC (gvkey),2022,11912,998,472601847447.49225,5629633206794528.0,1794012620.0,3859043567.5000005,6432436600.000001,22843210963.75,76828296124.5,264300979186.25,982016363794.9999,2202531817279.996,6584567266146.861
Japan,Compustat n LC (gvkey),2023,11901,998,537493149775.161,6396705975474191.0,1985348000.0,4146648660.0,6759720000.0,25107274800.0,87358056312.0,296562117120.0,1111308654591.0,2533729313745.0,8409439885370.0
Japan,Compustat n LC (gvkey),2024,11839,991,645534364559.5458,7642481342020462.0,2109776883.5,3993334100.0,7150950120.2,28191359010.0,101854259587.0,337132831100.0,1220439091492.8008,3023075037502.2017,10880926475629.586
Japan,"Compustat x LC (gvkey,fiscal-year)",2017,2646,294,952802859395.8163,2521116365961330.0,11086196251.699997,26605055761.5,55427570791.5,140684917928.0,410286342642.0,1069871681681.5,2556918758335.0,3818996221955.625,7138793650471.422
Japan,"Compustat x LC (gvkey,fiscal-year)",2018,3537,355,1009431429444.4851,3570358965945144.0,9765413222.32,27812488030.800003,54796085200.0,148570125288.0,415521471960.0,1107493492413.0,2813819506920.0,4118789125988.8,6785257701273.116
Japan,"Compustat x LC (gvkey,fiscal-year)",2019,3906,380,867345848994.0463,3387852886170744.5,12305276392.0,22721798114.75,44686996727.0,113489466297.75,329228969015.0,837876620501.25,2295709040092.5,3888001484925.75,6624471127899.3955
Japan,"Compustat x LC (gvkey,fiscal-year)",2020,4094,420,838521694189.8009,3432907816013045.0,6535743990.2,19635606351.8,35389339894.200005,85649492607.5,252797679771.0,780880511729.375,2200614378176.2007,3738213996784.799,7927302597965.312
Japan,"Compustat x LC (gvkey,fiscal-year)",2021,4563,461,981002164209.5215,4476312875288046.5,5202144583.599999,17375933905.8,35245120536.00001,91773274662.5,280989364383.0,861172079705.0,2543563231164.0005,4421922616682.997,8795309334552.014
Japan,"Compustat x LC (gvkey,fiscal-year)",2022,5275,546,857251451490.1088,4522001406610324.0,4705658647.68,13901264769.599998,27360537515.199997,73317011984.0,211965814678.0,663084972607.0,2100475515636.8018,4073448936349.101,8700360669800.807
Japan,"Compustat x LC (gvkey,fiscal-year)",2023,7806,807,678808781549.0002,5298781348771496.0,2185408933.95,4309823360.5,7369800000.0,30816206200.0,114930341132.0,397646482023.75,1430577584752.25,3059219323992.75,9140447353369.4
Japan,"Compustat x LC (gvkey,fiscal-year)",2024,6211,854,706610136929.098,4388755560466627.5,2587825575.5,6467351807.0,14546638800.0,55772306068.5,151555113990.0,411996282758.0,1471422064357.0,3269928912157.5,10699724139023.195
