region,coverage,year,floor,n_kept,n_pre,pct_dropped
Europe,0.7,2022,13162248114.097137,226.41666666666666,5379.583333333333,95.79118581054914
Europe,0.7,2023,15499762001.934937,201.5,5355.166666666667,96.23727864056518
Europe,0.7,2024,17775194330.506187,194.08333333333334,5193.0,96.26259708582066
Europe,0.65,2016,12723544415.587303,192.16666666666666,5064.0,96.20523959978937
Europe,0.65,2017,14645903568.077812,201.83333333333334,5019.333333333333,95.97888165759065
Europe,0.65,2018,14383675139.997004,206.58333333333334,5099.5,95.94894924338988
Europe,0.65,2019,14300892286.731802,194.58333333333334,5065.333333333333,96.1585285601474
Europe,0.65,2020,14769410071.420593,192.25,4999.166666666667,96.1543590598433
Europe,0.65,2021,17976472043.046844,205.33333333333334,5231.0,96.07468297967246
Europe,0.65,2022,17683710076.342686,178.91666666666666,5379.583333333333,96.67415382232205
Europe,0.65,2023,21201178715.955902,159.0,5355.166666666667,97.03090473374623
Europe,0.65,2024,23496896403.586597,153.75,5193.0,97.03928365106874
Europe,0.6,2016,16394151910.642721,153.58333333333334,5064.0,96.96715376513954
Europe,0.6,2017,18227844358.71403,161.16666666666666,5019.333333333333,96.78908221543365
Europe,0.6,2018,18807809319.375393,164.66666666666666,5099.5,96.77092525410988
Europe,0.6,2019,19009284763.27391,154.58333333333334,5065.333333333333,96.94821005527771
Europe,0.6,2020,18962946380.51769,154.25,4999.166666666667,96.9144857476246
Europe,0.6,2021,23060336882.230328,164.25,5231.0,96.86006499713248
Europe,0.6,2022,22401990336.187996,142.66666666666666,5379.583333333333,97.34799783130664
Europe,0.6,2023,26143866515.60695,126.58333333333333,5355.166666666667,97.63623914599609
Europe,0.6,2024,29482573396.6348,122.08333333333333,5193.0,97.649078888247
Japan,0.99,2016,81070632.41878144,2242.6666666666665,3484.3333333333335,35.63570266909022
Japan,0.99,2017,95052971.37642728,2351.5833333333335,3540.9166666666665,33.58828928478972
Japan,0.99,2018,102592932.7582479,2411.8333333333335,3606.75,33.1300108592685
Japan,0.99,2019,91495512.87738734,2387.4166666666665,3662.5833333333335,34.816045141179956
Japan,0.99,2020,91256307.80682956,2394.25,3716.6666666666665,35.58071748878924
Japan,0.99,2021,100353968.88953097,2397.5833333333335,3785.3333333333335,36.66123635082775
Japan,0.99,2022,79239418.22941124,2366.6666666666665,3842.75,38.41216142953181
Japan,0.99,2023,82360118.54665986,2351.4166666666665,3878.5,39.373039405268365
Japan,0.99,2024,90319348.41881602,2242.3333333333335,3898.6666666666665,42.484610123119005
Japan,0.975,2016,174914492.4317405,1632.6666666666667,3484.3333333333335,53.14263847699225
Japan,0.975,2017,198986815.6617479,1736.0,3540.9166666666665,50.97314725471276
Japan,0.975,2018,210765014.05816188,1788.4166666666667,3606.75,50.41473163743906
Japan,0.975,2019,197431608.80202043,1743.75,3662.5833333333335,52.390161771063234
Japan,0.975,2020,198149690.64481476,1737.9166666666667,3716.6666666666665,53.23991031390134
Japan,0.975,2021,222298192.36197436,1724.8333333333333,3785.3333333333335,54.433779499823885
Japan,0.975,2022,181182531.86410323,1686.5,3842.75,56.11215926094594
Japan,0.975,2023,191116674.8457516,1675.5833333333333,3878.5,56.79816080099695
Japan,0.975,2024,218036182.33053875,1567.5833333333333,3898.6666666666665,59.79180916552668
Japan,0.95,2016,364929845.24431103,1144.5833333333333,3484.3333333333335,67.15057878121114
Japan,0.95,2017,401253719.55903125,1233.9166666666667,3540.9166666666665,65.15262055494104
Japan,0.95,2018,419339298.29563785,1269.1666666666667,3606.75,64.81134909082506
Japan,0.95,2019,399167165.9968397,1225.3333333333333,3662.5833333333335,66.54456098837342
Japan,0.95,2020,397795167.77312183,1208.25,3716.6666666666665,67.49103139013452
Japan,0.95,2021,455471215.5677791,1184.0833333333333,3785.3333333333335,68.71917928848185
Japan,0.95,2022,376790593.3185808,1147.9166666666667,3842.75,70.12772970745776
Japan,0.95,2023,403621337.5903447,1140.9166666666667,3878.5,70.58355893601478
Japan,0.95,2024,481032562.1643381,1064.0,3898.6666666666665,72.70861833105336
Japan,0.925,2016,612722546.7996821,882.8333333333334,3484.3333333333335,74.66277623648713
Japan,0.925,2017,658682082.6344527,953.4166666666666,3540.9166666666665,73.07429808665364
Japan,0.925,2018,682982440.3551899,981.4166666666666,3606.75,72.78944571520991
Japan,0.925,2019,640336766.0250663,937.75,3662.5833333333335,74.3964869968829
Japan,0.925,2020,652322972.1522824,915.5,3716.6666666666665,75.3677130044843
Japan,0.925,2021,746259233.0703546,890.6666666666666,3785.3333333333335,76.47058823529413
Japan,0.925,2022,631624236.2076355,859.0,3842.75,77.64621690195823
Japan,0.925,2023,657974759.6172464,855.75,3878.5,77.93605775428645
Japan,0.925,2024,784750698.3103689,797.0833333333334,3898.6666666666665,79.55497606019152
Japan,0.9,2016,887112351.6403079,715.4166666666666,3484.3333333333335,79.46761695207117
Japan,0.9,2017,929089663.6210204,771.3333333333334,3540.9166666666665,78.2165635075663
Japan,0.9,2018,980507866.4779321,792.5833333333334,3606.75,78.02499942237934
Japan,0.9,2019,949019385.1990666,748.5,3662.5833333333335,79.56360492366498
Japan,0.9,2020,983551583.5797211,727.8333333333334,3716.6666666666665,80.4170403587444
Japan,0.9,2021,1127516739.9127066,704.6666666666666,3785.3333333333335,81.38429024304332
Japan,0.9,2022,943349408.043715,678.5833333333334,3842.75,82.34120530002386
Japan,0.9,2023,1002913492.0911914,675.0,3878.5,82.59636457393323
Japan,0.9,2024,1166133289.4323578,625.75,3898.6666666666665,83.94964090287277
Japan,0.875,2016,1182569986.3361983,594.25,3484.3333333333335,82.94508753467905
Japan,0.875,2017,1233826310.6022651,637.1666666666666,3540.9166666666665,82.00560118613353
Japan,0.875,2018,1297808992.7880144,655.4166666666666,3606.75,81.82805388045563
Japan,0.875,2019,1286492578.7689161,616.5833333333334,3662.5833333333335,83.16534322313485
Japan,0.875,2020,1336114339.885188,596.5,3716.6666666666665,83.95067264573991
Japan,0.875,2021,1561242142.5504992,574.8333333333334,3785.3333333333335,84.8141951391335
Japan,0.875,2022,1345850775.445416,554.3333333333334,3842.75,85.57456682497343
Japan,0.875,2023,1372200633.0160275,549.6666666666666,3878.5,85.82785441106957
Japan,0.875,2024,1598564405.5473144,504.75,3898.6666666666665,87.0532660738714
Japan,0.85,2016,1534101534.9084187,501.5,3484.3333333333335,85.60700277432316
