date,High esg_sp,Low esg_sp,High Innovation,High Adaptation-change,High Upskilling,High Advocacy,Low Advocacy
2019-11-29,0.05641056775849196,-0.0483749885282464,0.029052840226388432,0.17578615322429625,-0.15045160114553746,0.004341772559196211,0.06504836382547075
2019-12-31,0.004904007982984071,-0.04033091546805745,0.022732247921386284,0.09965094400624297,-0.04264979711251421,-0.15934971896618666,0.1417216925541116
2020-01-31,-0.0030930836568517917,-0.02665037825961558,0.0320876682519603,0.1026957693947742,-0.04952212590589411,-0.1620662885515427,0.1436739920647877
2020-02-28,0.03560995649962573,-0.11392417718034609,0.042185557757235204,0.07674217266321193,-0.13353704585930937,-0.13395052904869298,0.08603776454672485
2020-03-31,-0.08650469141276051,-0.17381290456075438,-0.12459313228005664,-0.06222231960365754,-0.2974816207012221,-0.2661719686515287,-0.08660244182856136
2020-04-30,-0.019348289734516966,-0.0014421330203087113,-0.07715257883548965,-0.027451629559772872,-0.18999290546570213,-0.13222371141531752,0.06313525019261723
2020-05-29,0.1292358090061525,0.05622768574704873,0.010071385903327679,0.04432084526585811,-0.08479256860035345,0.03006248990995397,0.27377031440675315
2020-06-30,0.08854443521823474,0.0037217594144489663,-0.03998815837562941,-0.012854980484884315,-0.09788323265234822,-0.06903281770302794,0.17439460897852732
2020-07-31,0.10227473759015071,0.0906624851522353,-0.0854326574183979,0.010046794152571925,-0.012804974251303003,-0.010807294545368773,0.23384892651480027
2020-08-31,0.11805939408163546,0.197437995839848,-0.024617528888248197,0.06794148354237883,0.05849295016564171,-0.005540141418739042,0.29546539497641633
2020-09-30,0.1641623655792328,0.37649209068075506,0.1509120351012183,0.20626026007103027,0.14351043855468937,0.1863923082761536,0.45025495448565545
2020-10-30,0.18210471557321062,0.44391816926116623,0.44109812724649233,0.590638590698207,0.14627213476714812,0.19393358909689462,0.571235384541508
2020-11-30,-0.00017445009059113836,0.2145180245744132,0.3034804589920942,0.557971496578296,0.14022969110724925,-0.06551910600476829,0.32072747609438346
2020-12-31,-0.046189821308229295,0.21368629567926384,0.3214744591223243,0.6777658150233119,-0.042877713927975764,-0.007437917706361902,0.33533574860506554
2021-01-29,-0.1668278730469187,0.07449492846974481,0.10181962413956089,0.557600402599975,-0.26637554100803706,-0.11104398761077162,0.09762072081035324
2021-02-26,0.11383727050637671,0.2187680923293398,0.12067015902301526,0.5772620565092618,-0.1601202139991209,-0.1436216789521937,0.1624053005150602
