date,Market,High customers,High suppliers,High employees,High communities,Low communities
2022-02-28,2.182257579899531,2.3859932260935572,1.9639087707592227,2.071295630336889,2.162022223144799,2.325274623153851
2022-03-31,2.2538356285202354,2.457412134036833,2.0302652587761325,2.15064215374592,2.227780780228882,2.399640267319586
2022-04-29,2.048961969887746,2.368083450779806,1.9355540047916677,1.9946725912706567,2.0694909195881905,2.2735489096820864
2022-05-31,2.047117904114847,2.3951083513940636,1.9894113330167513,2.0304928758153173,2.0843144963214417,2.3283145098927625
2022-06-30,1.8751600001692,2.185513093395767,1.769932538407655,1.8094546163554792,1.8812699689671153,2.0719238767379586
2022-07-29,2.049924912184969,2.3628013045272147,1.9162994307609331,2.0109398299175787,2.0304098070857024,2.28820883975079
2022-08-31,1.9765376003287474,2.3096085141866785,1.867131800072993,1.9370645663479105,1.98380169386886,2.1962022036847553
2022-09-30,1.7964750249387986,2.115178945251701,1.692401670063849,1.7522493963437356,1.7905027372706495,1.9703766792379844
2022-10-31,1.9436063294812864,2.3178320779960955,1.874456754900061,1.9316203152254663,1.9606135113305119,2.174642352294124
2022-11-30,2.04292461291778,2.477698467391445,1.9866711298772646,2.0300455297318796,2.1041421831028324,2.297088849108739
2022-12-30,1.9209620135265884,2.3574002796834104,1.9053300644758964,1.930036801924725,2.0148628989878965,2.1892994281833333
2023-01-31,2.057734508889682,2.535460590141677,1.9992788539853639,2.074192142408288,2.18069301358264,2.353286290452008
2023-02-28,2.0095835213816633,2.4559628679221213,1.9351188282910206,2.0129793129951508,2.121007882141303,2.2849644306031456
2023-03-31,2.062837484698277,2.4179030170527502,1.9442379122126427,2.019540741592861,2.152134799311076,2.280644593832827
2023-04-28,2.0842909945391392,2.4213427653003414,1.9734794888316645,2.0413060266530314,2.149835360935027,2.2935606073067913
2023-05-31,2.0897101511249407,2.3167795366125428,1.9151645557649046,1.9764216223865447,2.0749530482810923,2.217592646233965
2023-06-30,2.233482209522337,2.4958826646146406,2.042720499206558,2.147636102548027,2.2358519842005578,2.4144185023495544
2023-07-31,2.313887569065141,2.605062775575148,2.117116162666192,2.240416608151684,2.3072677251875313,2.520800995682241
2023-08-31,2.2678412064407447,2.5244058747456006,2.038975655262965,2.200718495725684,2.222700275107572,2.4597772421404502
2023-09-29,2.162159806220606,2.4280174559026273,1.9551973212855966,2.0948078926059517,2.0879077043757617,2.345734651839711
2023-10-31,2.100322035762697,2.355416798519985,1.8929928774697202,2.0233645556493176,2.0075233881730457,2.266286419697045
2023-11-30,2.2946018240707464,2.562372899844726,2.0423875126004507,2.225852573830228,2.157815249329882,2.4855204993889854
2023-12-29,2.415756800381682,2.70242373458689,2.173780097715378,2.343889739084548,2.304471587085338,2.6338367080667107
2024-01-31,2.4420885495058418,2.696718417611605,2.1290517000591915,2.3520349116779196,2.2786680556928944,2.6087386599942475
2024-02-29,2.5702981983548985,2.831497428682733,2.2102450181911966,2.4908225193606452,2.3285616718021163,2.779296316254757
2024-03-28,2.654603979260939,2.9434698639606487,2.31978217016296,2.6138154128426643,2.4784362854877955,2.917703495200661
2024-04-30,2.5436415329278317,2.7639053087425602,2.2253057253784796,2.467170509216929,2.3641198743450818,2.7369984948930735
2024-05-31,2.6626839566688543,2.845578870433034,2.3059203197530307,2.5569879966000593,2.4410555227702133,2.832990931548258
2024-06-28,2.7383041810382496,2.8017427789057394,2.258825107939046,2.539648310166563,2.4329941829215653,2.820847425138694
2024-07-31,2.7911534517322876,2.993701920765509,2.3734857591022243,2.720429497500348,2.567041188069453,3.0096379086794767
2024-08-30,2.8514423662897044,3.083759385355561,2.4461632035894514,2.780813329963997,2.5711418856283625,3.0692621266763087
2024-09-30,2.911607800218417,3.1867237444196173,2.476078652098652,2.8584567161368577,2.6193294995421414,3.1458229028548823
2024-10-31,2.8918088671769318,3.145880573951736,2.4384856438920446,2.833563729576657,2.5484904798861026,3.114124635251312
2024-11-29,3.088741051031681,3.3615815061312593,2.573080023993622,3.0406774602087068,2.6795183423490774,3.350454938649187
2024-12-31,2.9936078266599053,3.110253947574642,2.4326364722947926,2.818275065776008,2.4943797833316794,3.115954081002018
