date,Market,High Innovation,High Adaptation-change,High Measurement,High Upskilling,High Advocacy,Low Advocacy
2020-03-31,1.2308556857061104,1.1877702919768045,1.2432383267213754,1.1628801748665656,1.1119080877529428,1.1009516406295523,1.1168760144003842
2020-04-30,1.394928748610735,1.3422064620337097,1.3803698930047157,1.3106497401150334,1.2733091718827891,1.2557040668687705,1.2588107943009954
2020-05-29,1.471091858284881,1.3966028388942016,1.4686436622691266,1.3728002618014001,1.3818442906934798,1.3255000186535186,1.3516953293342677
2020-06-30,1.5069864996270321,1.4077046180366632,1.5172816871445662,1.3744757187929737,1.4083527989179083,1.3296230747212305,1.374613949670455
2020-07-31,1.5931861274056982,1.4909211852353703,1.5992459230081664,1.4578990047223959,1.468428051700628,1.3752757157522304,1.4450958405437795
2020-08-31,1.7118784938974227,1.5498894828232348,1.6507544991755847,1.5310182396806886,1.5470187599908747,1.4666222525741424,1.5258536916430563
2020-09-30,1.6493949288701668,1.5279310150371173,1.6280706542468626,1.480483658912636,1.489581050681423,1.445808688163414,1.5047020690952857
2020-10-30,1.6147576353638933,1.5512263449376014,1.6796948306875676,1.4718499600608574,1.4724127762411805,1.4490265446813675,1.509577387762674
2020-11-30,1.8172482428385255,1.749883879608988,1.892174778868687,1.6779808344657032,1.723326865224771,1.6281750269911215,1.719342453336587
2020-12-31,1.9010233868333815,1.8033070104930247,1.9740061414003784,1.7343115176712467,1.8046811546425523,1.6933909451713711,1.8075436473481288
2021-01-29,1.8953203166728814,1.7643980528511234,1.967962865360984,1.7243252099624935,1.7560574684213142,1.6797973687355703,1.7709961009603477
2021-02-26,1.9557810347747464,1.8745609669751295,2.0792054482838096,1.7870314544874377,1.8816579600320322,1.7697698479197463,1.888567247687096
2021-03-31,2.0246245271988172,2.0240794186427604,2.226274810641222,1.9144734356395725,1.98481347056659,1.903186578746339,2.000602566407984
2021-04-30,2.1284877654441163,2.1179558391761506,2.332130311784312,1.979252652849248,2.0891999533440546,1.9996406465969159,2.1215822612195874
2021-05-28,2.1431743310256803,2.1585626684389116,2.3684077225947457,2.045974777986714,2.1422826562552366,2.045876735377034,2.1504584084421667
2021-06-30,2.1926816580723734,2.131847920930993,2.346919945223681,2.043403473417405,2.1142796318663915,2.00599947781967,2.1255789466009425
2021-07-30,2.2196516424666637,2.1434897098803622,2.363156697748271,2.0448163650957936,2.1480266808131367,1.9967583689480504,2.163639324311861
2021-08-31,2.282023853619977,2.192062213302943,2.4718232913437426,2.099758254507718,2.206500554773786,2.017341417549732,2.2446850027051615
2021-09-30,2.184353232685042,2.0845846591242814,2.3738672117347432,2.0095874690136806,2.1387864259920844,1.923247238262457,2.1454277960058588
2021-10-29,2.330049593305134,2.1733291276317614,2.474499582369758,2.079314803010219,2.267108311974304,2.0321354441646338,2.2430558082517926
2021-11-30,2.287642690706981,2.1204880647146167,2.4087430754347356,2.053115800144369,2.1848402852858873,1.9600514303906034,2.196637975867912
2021-12-31,2.3677101848817252,2.271113389562427,2.522437702275511,2.1910525940020036,2.3029463645283528,2.081304053051646,2.322417027028093
2022-01-31,2.231803620269514,2.184955863997418,2.3961379545107477,2.1184810602708644,2.212130895535692,2.0080518704621357,2.2251808112742646
2022-02-28,2.182257579899531,2.1655183020762365,2.394631610304078,2.092859845693508,2.2561188390285976,2.009655004457258,2.235305961468395
2022-03-31,2.2538356285202354,2.204236215087971,2.5210670070266934,2.157223690942897,2.3146921699607943,2.042763171994687,2.3125538469189735
2022-04-29,2.048961969887746,2.1194515563172565,2.3339653554089845,2.025768832653405,2.1518798332608777,1.9114985350685014,2.192181723835038
2022-05-31,2.047117904114847,2.1607334855760274,2.3623755072713375,2.075902578052873,2.2068122633395366,1.9411159099381692,2.2476444382005236
