direct_control,cyear,SP_ISIN,ids,scope1_abs,scope2_loc_abs,scope3_down_abs,scope3_up_abs
335745.208385985,2015,GB00B1WY2338,100045,23353.73595647092,81025.99999997627,,732671.8475742579
316409.298313231,2016,GB00B1WY2338,100045,21548.37130000009,65797.99999996899,,750844.5273318643
322643.427242866,2017,GB00B1WY2338,100045,11821.06420000001,73201.73682654681,516.456142389641,802369.983863201
343745.428044489,2018,GB00B1WY2338,100045,12193.84700000002,79155.14843747858,413.3593689208607,784871.408492955
286738.848437118,2019,GB00B1WY2338,100045,14929.16449999999,72607.9999999743,122.4971930875304,591492.0123143485
273141.447,2020,GB00B1WY2338,100045,15262.0,96132.0,209.9996128482163,550833.036
329973.973,2021,GB00B1WY2338,100045,20452.0,48089.0,91.45070224592068,598642.521
205170.059,2022,GB00B1WY2338,100045,,,,
,2004,,100054,552934.1388717137,323718.939387156,,4097133.172561577
,2005,,100054,505978.6831474525,298370.0679908411,,3626632.423798066
,2006,,100054,611673.9780681226,355299.6317917487,,4207000.262451854
,2007,,100054,672167.2386889958,400845.0804545345,,4555143.769350335
,2008,,100054,710456.1880583453,394397.3821075473,,4604036.931942244
,2009,,100054,83562.25666416078,60422.99000002834,,4839856.775055396
1392036.67310832,2010,DE0006070006,100054,85767.12245794389,61719.68652590377,,4854346.951454955
1503619.56139596,2011,DE0006070006,100054,861327.6911280957,229067.5232065092,,1679656.405862523
1429192.26908135,2012,DE0006070006,100054,834099.5333875302,191621.1549593683,,1706332.066305049
3999003.6722412,2013,DE0006070006,100054,3469467.598709668,135944.0084991472,,1675922.886362582
3933142.70599359,2014,DE0006070006,100054,3298045.255763977,305220.1046755578,,1468089.529379725
3237183.55690614,2015,DE0006070006,100054,2729976.632812282,225381.999999988,,1210265.189456327
2539867.918,2016,DE0006070006,100054,2048993.134,210531.906,,1232027.181
4078154.68,2017,DE0006070006,100054,2290902.47,331127.833,4.947639260505889,5533941.652
4552233.901,2018,DE0006070006,100054,2897700.612,218550.79,4.114535408967683,5424056.323
4500752.94204417,2019,DE0006070006,100054,2853933.294353022,223221.000000016,1.491547603264929,5216739.542770706
3947152.408,2020,DE0006070006,100054,2509555.326,167716.076,4.420711857619851,4756819.855
1564585.564,2021,DE0006070006,100054,220900.834,97727.242,0.587177648258782,4773813.862
1497198.205,2022,DE0006070006,100054,,,,
,2002,,100057,40535.58579602639,56165.37056032725,,1035220.542037038
,2003,,100057,151829.1259598692,61150.0450008757,,1110570.23937925
,2004,,100057,201962.3778002172,65397.3231985799,,1028535.196647268
,2005,,100057,111562.7064917432,68681.04785687574,,1053074.15734975
,2006,,100057,35416.55729187895,76999.98999993947,,1012460.79284359
,2007,,100057,34673.31511344728,74900.00999999621,,989108.1536951606
,2008,,100057,32472.85969652425,70699.98000002267,,782851.6583125517
,2009,,100057,26598.65257862502,65999.97999999115,,872715.0942690275
434460.634880882,2010,GB00BGLP8L22,100057,28454.45273245969,69701.15782433293,,817392.5230164599
510657.953739099,2011,GB00BGLP8L22,100057,25706.48096085067,67226.13999996534,,978297.26625116
451418.528977806,2012,GB00BGLP8L22,100057,25345.95578881081,66951.31491612166,,889007.5439648663
302557.039612773,2013,GB00BGLP8L22,100057,19547.62395956242,51367.43665396109,,609120.5854187044
296765.508397461,2014,GB00BGLP8L22,100057,20403.4342,44127.58436103867,,629326.4478054184
273921.146501727,2015,GB00BGLP8L22,100057,19027.37100000001,42999.99999997075,,556837.6367596473
274867.160981009,2016,GB00BGLP8L22,100057,17572.11990000001,41892.99999997047,,565138.6383636232
294360.762319993,2017,GB00BGLP8L22,100057,16924.40560000001,42000.00000002149,1404.862414754722,624428.9752987876
292810.092872843,2018,GB00BGLP8L22,100057,18201.82236240031,45249.99999995876,1571.198500352877,619696.5567304388
256016.841210013,2019,GB00BGLP8L22,100057,16418.45499999999,41499.99999998372,514.5502156800675,534049.2763242011
248484.81,2020,GB00BGLP8L22,100057,14116.237,33924.678,946.866876084675,535000.816
294790.637,2021,GB00BGLP8L22,100057,12958.0,31172.0,10.56697165371906,621553.448
196316.35,2022,GB00BGLP8L22,100057,,,,
,2002,,100060,73144.90572848944,133943.5420695515,,262249.7471254693
,2003,,100060,83247.08784129586,54770.44,,320763.1417103868
,2004,,100060,69362.60315364391,71785.30410416501,,309364.455937043
,2005,,100060,94777.78927909302,123763.5862702682,,381631.672275031
,2006,,100060,110168.8149770602,19952.47000001516,,432120.680293988
,2007,,100060,188987.2514776832,16826.9699999798,,504747.9468975595
,2008,,100060,200655.7750484018,5425.999999979365,,326988.8605843331
,2009,,100060,100809.6481770464,64441.97999996661,,354462.8746472842
273055.95320964,2010,GB00BK9RKT01,100060,105611.4688,67743.05987095044,,350580.9879516482
377591.820444187,2011,GB00BK9RKT01,100060,149110.5342513074,77923.99999999766,,552772.2395074801
384865.455066868,2012,GB00BK9RKT01,100060,154098.5617013611,78302.99950547563,,537574.9858447622
386159.393595005,2013,GB00BK9RKT01,100060,163006.8516860827,73286.20065645855,,540531.5336814509
411960.5604629,2014,GB00BK9RKT01,100060,163098.652885756,79849.46602498143,,628197.2391969572
408246.456536662,2015,GB00BK9RKT01,100060,168707.5592339213,70840.57032505752,,618519.5591669254
364174.909528189,2016,GB00BK9RKT01,100060,139428.7754000003,65289.00000001573,,602992.5976456997
353948.967802642,2017,GB00BK9RKT01,100060,138160.0291000003,57204.99999992704,255.1242467820543,617565.5425851605
335221.982922192,2018,GB00BK9RKT01,100060,131283.9492000003,45671.99999999016,378.7704800042575,635058.0420150777
305823.95330769,2019,GB00BK9RKT01,100060,116689.1008999992,38735.99999998825,131.9359504138139,581742.0428761143
256264.643,2020,GB00BK9RKT01,100060,89013.0,32841.0,578.2037664203893,513001.43
638983.048,2021,GB00BK9RKT01,100060,64099.0,17707.0,1568.201300895249,434594.484
