date,High customers,High suppliers,High employees,Low communities,High esg_sp
2020-05-29,0.06666630926674144,-0.15152258728382995,-0.24840909642321618,-0.24027715212626255,0.08114041073494827
2020-06-30,0.029705382039401318,-0.13830561040599765,-0.3269982944484371,-0.27779949475087484,0.05594197159657144
2020-07-31,-0.01012071675011561,-0.12435616572255093,-0.29574598535130936,-0.2715130628091996,0.0734557582851123
2020-08-31,0.035945600974254255,-0.09599812388539464,-0.25505202441127117,-0.2105632805933353,0.08485380918197327
2020-09-30,0.12193932070891844,0.0038244919443641834,-0.06246818731566062,-0.052979818415507696,0.12351735338108516
2020-10-30,0.23311496122746217,-0.045508234027324956,0.0962185451198026,0.24561089962858512,0.1845713612998895
2020-11-30,0.19859384217350584,-0.28547114855589817,0.13481516095992596,0.25623234099302905,0.027494255513084154
2020-12-31,0.2977766734145253,-0.33734318354263704,0.0427305840301888,0.1980707148254352,-0.015331732931882391
2021-01-29,0.1713759127898692,-0.3881718632759632,-0.1382143502938559,0.0008762087423823672,-0.10767250204033973
2021-02-26,0.2135049930975061,-0.4574664209478978,-0.08391910761885302,0.09918312016407749,0.09410445684230351
2021-03-31,0.3645572860283905,-0.3554100369145097,-0.06160979396884503,0.23042022082829244,0.2052800352204155
2021-04-30,0.3706043372161411,-0.35200681114903276,-0.010040622721763537,0.24221281617071488,0.2669565083000531
2021-05-28,0.21575864081309415,-0.18169070384747477,0.19733717150726643,0.41993276789793055,0.3029076633634986
2021-06-30,0.13778469471103852,-0.17021092866187154,0.17940723900737127,0.35242934412715854,0.2590951535085813
2021-07-30,0.1317916356951126,-0.20246604768332657,0.17184655509277563,0.3239636986869072,0.22635266253912123
2021-08-31,0.1567684740947479,-0.1475702296055589,0.036964473989712254,0.25536253536977194,0.3019767623568973
2021-09-30,0.19048033358721642,-0.38011472880557595,0.04976462672424109,0.24668455549554097,0.15897661011290604
2021-10-29,0.13802450118094134,-0.41504261259931696,0.09249565475735755,0.245341340112066,0.16804303409571641
2021-11-30,0.1505459760792603,-0.42486165496074413,0.05909626592175132,0.23821816359639536,-0.0040629655956286315
2021-12-31,0.1882005816471568,-0.3931279505090475,0.07433477234475017,0.2358764869431893,0.08107662223088119
2022-01-31,0.06188702041005534,-0.3585512591818768,0.03322331052174765,0.13051914291300226,-0.03739007448078202
2022-02-28,0.2702725306792767,-0.27962938247093616,0.11162253389533627,0.34637293514897904,-0.12070177589807796
2022-03-31,0.17628931867864128,-0.2133064015392549,0.14902030294727986,0.2392978949811867,-0.3817226661636813
2022-04-29,0.3629464518052813,-0.06356010595075168,0.14922104970904096,0.3116248868409774,-0.33304752012418243
2022-05-31,0.2344952092539518,-0.18186938505976163,0.028892167918685374,0.16881577742699067,-0.449048559285687
2022-06-30,0.15320925247632453,-0.30241188597037544,-0.029902390160829184,-0.015565670095700646,-0.3299703799543967
2022-07-29,0.1322508887067397,-0.20662764807111414,0.10003658865955867,0.06601882711770174,-0.32990124759842604
2022-08-31,0.18258338555498121,-0.16770460252941488,0.2419168841371711,0.13477334294015997,-0.2921617283978929
2022-09-30,0.1407127984666578,-0.2834915915033944,0.1428640272878683,0.0030739397301690063,-0.3461817551715418
2022-10-31,0.11928208898758888,-0.24855393332893339,0.04092900419766499,-0.061794767842195675,-0.3645022866668266
2022-11-30,0.1358446637483714,-0.20144071199914373,0.03269794361041517,-0.03447598149328562,-0.2843418786360923
2022-12-30,0.12171606283350367,-0.1264237809093881,0.1383371262298953,0.05751127222071806,-0.13905279681509253
