date,Market,High esg_sp,Low esg_sp,High customers,High suppliers,High employees,High communities,Low communities
2018-07-31,1.3571846720280092,1.3395028685639654,1.3044924556924988,1.4083988564696213,1.2847565404995636,1.3040784507090633,1.3591866666512562,1.3848886025831793
2018-08-31,1.4012931738689194,1.3615389512590403,1.30854847118823,1.4281501868356747,1.294481267033739,1.3334182669094765,1.3768237955269622,1.4197065376109657
2018-09-28,1.404235889534044,1.3599491795921967,1.300037276401072,1.434947491639532,1.2870676627244766,1.3215063038393533,1.3846975952203988,1.4164381947800775
2018-10-31,1.29723311475155,1.2680232705165981,1.1880574573024245,1.3350057344314548,1.1779111959589939,1.203647560929692,1.299508442958274,1.2752940847421226
2018-11-30,1.320583310817078,1.3187072250575207,1.236823294628796,1.3701239932058953,1.2193743537225665,1.207518718184351,1.353056687822354,1.2914555764947369
2018-12-31,1.1973728879178447,1.2041149550684602,1.1163867002677075,1.2292517802837646,1.0972725593990054,1.0933578033477769,1.2315564625675905,1.172624535869768
2019-01-31,1.302741702054615,1.3174875195971942,1.2255577408102616,1.3429229291645097,1.2035204989785393,1.2098306620145878,1.3349884727713208,1.305297113701846
2019-02-28,1.349249580817965,1.3672595353748163,1.2803138104891951,1.3952307546237608,1.2403906106822769,1.2502823984101414,1.3870424971344084,1.3564993258493951
2019-03-29,1.36463102603929,1.3830112555866274,1.3006215935359873,1.3961984734250392,1.2498335819334008,1.2768529790337153,1.396076350027279,1.3722049394887224
2019-04-30,1.4207173612095048,1.4140869822484163,1.3466689910207954,1.450138634503246,1.2861338147841135,1.3186662790166066,1.4677650726191571,1.4197802411003768
2019-05-31,1.3268079436335565,1.3146241347837904,1.258143240088207,1.3751155547099339,1.1588891753587955,1.1854956819659082,1.3774719919829383,1.2884400224657966
2019-06-28,1.4219400731920826,1.4126477809522873,1.3684818974595196,1.4923261846330937,1.2365947284906544,1.2646291121383293,1.4886965356008268,1.3869316005075243
2019-07-31,1.4398565181143028,1.4268690860539892,1.3855581340763423,1.5122861660552966,1.25091291202579,1.2954203610243458,1.5155177110758007,1.4240168131190942
2019-08-30,1.406451846894051,1.368382332299304,1.370090932331268,1.4766509791210185,1.1918097410027286,1.28702462292439,1.4694813978719021,1.4122366038370973
2019-09-30,1.43036152829125,1.4231330571425271,1.3976310000787628,1.5185189025832269,1.2562272713910019,1.3221091533723697,1.5323677699978238,1.4500912607764929
2019-10-31,1.4586826865514169,1.4373435867884403,1.4325898541635156,1.5401977144260661,1.2681618588974997,1.3358921094499159,1.5485376758027825,1.4638141139366485
2019-11-29,1.5158630478642325,1.5060822113235046,1.4622381801968451,1.5756053813246595,1.3170047592843186,1.3666286946967203,1.587004665221764,1.4865511239006517
2019-12-31,1.5602778351666546,1.5422284478328752,1.5045849007461,1.6133992969892132,1.369224737429012,1.407712407729693,1.641851292159395,1.524741526831673
2020-01-31,1.5570012517128047,1.5275188017579262,1.4487602370849566,1.6202141793930653,1.3212633520212271,1.360050027496075,1.5880500029712854,1.4965207730330001
2020-02-28,1.4307284501988962,1.4091569654023879,1.306351706118517,1.4660450870834523,1.1920128419112606,1.2331419565371378,1.4404789015478576,1.3573969504029455
2020-03-31,1.2308556857061104,1.2091456263023062,1.045576238429909,1.24558282792352,0.9782841336135969,0.9976909299076638,1.2249547665234128,1.136648761710586
