date,Market,High transformation,High esg_sp,High preparation,Low advocacy
2018-09-28,1.404235889534044,1.5214590934663579,1.3331524259807213,1.3513713480008764,1.3400372584988223
2018-10-31,1.29723311475155,1.4098618896261081,1.2506907681671426,1.221222977150851,1.2369995881056108
2018-11-30,1.320583310817078,1.4754715059068613,1.3054964993314675,1.2508608185405667,1.2880417041896004
2018-12-31,1.1973728879178447,1.3216224305178774,1.1977343272703647,1.1375357911859714,1.1615206066068258
2019-01-31,1.302741702054615,1.4477174758755855,1.2994033747920255,1.247958113676586,1.2822222968497983
2019-02-28,1.349249580817965,1.500318280427736,1.3422519735134795,1.2946353352989457,1.339850291596555
2019-03-29,1.36463102603929,1.5038608626842564,1.3629360881864405,1.3090391489894562,1.3383843297512805
2019-04-30,1.4207173612095048,1.5439246347313722,1.3888753073253415,1.3468105718545471,1.3646486477820545
2019-05-31,1.3268079436335565,1.4406686937799698,1.2947134401293496,1.2127796617144742,1.2737969251536765
2019-06-28,1.4219400731920826,1.5560230633436254,1.3878121194879518,1.3099706569083849,1.3667251962316829
2019-07-31,1.4398565181143028,1.5777051583046156,1.4055247578310042,1.3351108836931176,1.3956178875590084
2019-08-30,1.406451846894051,1.5614008628937042,1.371339427196638,1.3052614796325905,1.366019625661543
2019-09-30,1.43036152829125,1.6187923795285117,1.4165258825045715,1.3448533180313296,1.4236772747328938
2019-10-31,1.4586826865514169,1.6426412511310162,1.4284536682588065,1.3566132870328171,1.434467317246098
2019-11-29,1.5158630478642325,1.6976631058144571,1.4864293327465103,1.405931588851277,1.4815462773578352
2019-12-31,1.5602778351666546,1.7472596444128432,1.5242437245918723,1.4683691936481986,1.5296400548181806
2020-01-31,1.5570012517128047,1.7460962823178205,1.5322107599113242,1.4254189517491491,1.5014063538205467
2020-02-28,1.4307284501988962,1.6127164925874453,1.4252768935548574,1.2895437512479573,1.3592524527962349
2020-03-31,1.2308556857061104,1.3840565691670705,1.2589610833189457,1.0986108427376307,1.17305442624648
2020-04-30,1.394928748610735,1.5356456673599,1.3990317699824222,1.2742758840170851,1.3047490246712823
2020-05-29,1.471091858284881,1.6278307596793045,1.4664574682234168,1.3382894560904939,1.3530143355153617
2020-06-30,1.5069864996270321,1.6740541773817916,1.4607146834003017,1.3366492786030761,1.3811102282587977
2020-07-31,1.5931861274056982,1.7723377071918758,1.5358638621948464,1.4058572652477233,1.4448592779365355
2020-08-31,1.7118784938974227,1.8583395063249135,1.614278850891037,1.4640842267132825,1.5336823612536763
2020-09-30,1.6493949288701668,1.8306482354345135,1.5623435572378452,1.4333716324989532,1.4988644683444563
2020-10-30,1.6147576353638933,1.8688511196723123,1.5336066479022412,1.4382059930806745,1.5057104138230784
2020-11-30,1.8172482428385255,2.1269703864901754,1.7079760076503898,1.6304515751929483,1.7029502291794032
2020-12-31,1.9010233868333815,2.2183577683898386,1.7483039870380401,1.6926344747703355,1.7608918869376922
2021-01-29,1.8953203166728814,2.195449663437412,1.722554638611479,1.6640274288530714,1.742917757882227
2021-02-26,1.9557810347747464,2.2899380452541402,1.8133435586721034,1.7530174451178813,1.831773077325542
2021-03-31,2.0246245271988172,2.4560911273141786,1.9465915722055942,1.8911486082231765,1.981259643900603
2021-04-30,2.1284877654441163,2.571818062955484,2.0243729715243237,1.9869216188693897,2.071771084673801
2021-05-28,2.1431743310256803,2.619867616544514,2.078228546189237,2.046780528275192,2.115460765231641
2021-06-30,2.1926816580723734,2.582728625936115,2.0819232675450188,2.020133043410279,2.1028329426073777
2021-07-30,2.2196516424666637,2.6235287300806607,2.078729938633632,2.0326316802877376,2.1102089844126257
2021-08-31,2.282023853619977,2.727807151845795,2.1171029270385935,2.08632179388292,2.172623764347121
2021-09-30,2.184353232685042,2.5974746819904766,2.0133736812646608,1.9750467980125346,2.0682561032512092
2021-10-29,2.330049593305134,2.7266252266649587,2.1322747700517173,2.071948059635623,2.1698384897926632
2021-11-30,2.287642690706981,2.654823051940082,2.068539116761301,2.00580590540137,2.090693385442683
2021-12-31,2.3677101848817252,2.8243267525864204,2.2075596876861465,2.1284347932137235,2.2094372383652017
2022-01-31,2.231803620269514,2.6930322697072424,2.1679528500103027,2.012200915447504,2.139824817334635
2022-02-28,2.182257579899531,2.65906252042317,2.1420541109593985,2.00369419820541,2.1049357472892347
2022-03-31,2.2538356285202354,2.7825880682212953,2.2148575022100534,2.065038632081593,2.1688661661884363
2022-04-29,2.048961969887746,2.62679356897839,2.0867144123572943,1.940956571336037,2.0416481674074465
2022-05-31,2.047117904114847,2.6833347781098156,2.1289946932668995,1.997066672068691,2.087103281533152
2022-06-30,1.8751600001692,2.416987575459731,1.9296142207793963,1.7734759867653502,1.849308296370572
2022-07-29,2.049924912184969,2.629110413956403,2.0525066698204566,1.9460504186162118,2.018829464781571
2022-08-31,1.9765376003287474,2.5714848129336754,1.9983513005629638,1.8927435724850603,1.9874965359850043
2022-09-30,1.7964750249387986,2.296905984680615,1.810191566210885,1.7101389513379175,1.7934614476573263
2022-10-31,1.9436063294812864,2.53235336791926,2.0224037612676966,1.8845996080481793,1.9988062475596162
2022-11-30,2.04292461291778,2.700935323102625,2.1675224259529697,1.9988343613333843,2.1189264830437065
2022-12-30,1.9209620135265884,2.573372138689307,2.082219618693582,1.9144788581681487,2.033595299003464
