date,Market,High customers,High suppliers,High employees,High communities,Low communities,High esg_refinitive
2019-04-30,1.4207173612095048,1.4979842229095621,1.356166234636747,1.334022846740317,1.495294476697474,1.4291110751105178,1.4738731274761148
2019-05-31,1.3268079436335565,1.4179119484556038,1.2395574077033291,1.1944851307103292,1.3949535338342647,1.307017452650186,1.351375253888176
2019-06-28,1.4219400731920826,1.5380024155144993,1.318230037967885,1.277697843662727,1.5074746796290301,1.4035791365151529,1.4660937132187302
2019-07-31,1.4398565181143028,1.5583281208427828,1.333935798941021,1.3056012275805469,1.54167525609688,1.4436309497376023,1.4805398764243611
2019-08-30,1.406451846894051,1.5109897390307603,1.2708620538257678,1.2938715213253502,1.5119373743541926,1.4278432909554897,1.424903431580278
2019-09-30,1.43036152829125,1.5485823737187197,1.337139322939042,1.333693437881489,1.5695954002017496,1.4719262771504362,1.4804325502104883
2019-10-31,1.4586826865514169,1.5649727568348732,1.3523193094936419,1.3518629836712526,1.5849706603109106,1.4883605433324767,1.4802617520270296
2019-11-29,1.5158630478642325,1.6055376395913599,1.4068941481173503,1.386629501866564,1.6229633874006073,1.5136882688099638,1.563593384675773
2019-12-31,1.5602778351666546,1.650687921463343,1.4650123435494344,1.430162396846282,1.674929468596832,1.553463647687258,1.6095236803641246
2020-01-31,1.5570012517128047,1.6559303814603874,1.4080443973364074,1.3776121605551903,1.6332497795144099,1.5203374847052378,1.5769089849056719
2020-02-28,1.4307284501988962,1.5089071800557892,1.2747107760866252,1.2494413866811058,1.4674058189896697,1.3787142362968579,1.429335952104673
2020-03-31,1.2308556857061104,1.3018998354029865,1.0499524434809269,1.0055080100187395,1.2315549612578893,1.1451041566462643,1.169945878857944
2020-04-30,1.394928748610735,1.4507145427738386,1.1940684254280265,1.1580402554397349,1.3888065298506367,1.3018308592240067,1.3308812486314212
2020-05-29,1.471091858284881,1.5340246693694721,1.2559258574157692,1.2385149409373184,1.4759593156645208,1.3949750793937126,1.3894043031527417
2020-06-30,1.5069864996270321,1.549369836938731,1.2825450612894695,1.2573876836348172,1.4884590911365776,1.4301154473384068,1.4081845005868971
2020-07-31,1.5931861274056982,1.6597859194909115,1.3217980782796244,1.3260283842848626,1.5746476689368587,1.5288290370207618,1.4900673874731096
2020-08-31,1.7118784938974227,1.7512969164214973,1.4012611177193717,1.370555415338697,1.6462869631591002,1.5773103127276802,1.576603387691192
2020-09-30,1.6493949288701668,1.7071978915520722,1.35958900641211,1.3445867681948678,1.620572657354616,1.5433689356406946,1.5326631826429669
2020-10-30,1.6147576353638933,1.7001266981547625,1.3321261614138524,1.365844765532753,1.6313504163875159,1.557445973909365,1.5296009114324691
2020-11-30,1.8172482428385255,1.9209401317336434,1.4992357287154903,1.5468337283225115,1.8695827871045616,1.7637573497512398,1.7228615329838204
2020-12-31,1.9010233868333815,1.9860797426827574,1.5544503216809284,1.6136223508022787,1.9586102996874724,1.8343479626394499,1.7889045771597056
2021-01-29,1.8953203166728814,1.9594514485036665,1.5489566898617269,1.594271562882115,1.9262558543190047,1.8141793023633228,1.7920425777708402
2021-02-26,1.9557810347747464,2.0732967081879305,1.6193762354235446,1.6929059478722712,2.0390714025883208,1.9170452104435527,1.8831726147665904
2021-03-31,2.0246245271988172,2.2232578581076843,1.7401044521239462,1.8113949121393607,2.1656729767665865,2.0646824534279626,2.032253391981647
2021-04-30,2.1284877654441163,2.327537337319409,1.794532083459418,1.905188661188282,2.2773614078814193,2.148012240622574,2.087705135100833
2021-05-28,2.1431743310256803,2.3606130381475583,1.840426804827076,1.9639931209593908,2.2907742466556464,2.2134409969542044,2.173508714391312
2021-06-30,2.1926816580723734,2.341986478720596,1.8433917934260589,1.942772968615835,2.2522187252454398,2.184537429534299,2.162710797635277
2021-07-30,2.2196516424666637,2.385025046419117,1.8408197421260082,1.9818536523474375,2.2656460660003304,2.2275457292678253,2.1901197685081386
2021-08-31,2.282023853619977,2.4598771037201934,1.8777061735716172,2.039842990567585,2.3062547649855003,2.3086706469731237,2.2601671326505213
2021-09-30,2.184353232685042,2.389446378446312,1.8029400206780737,1.9682707855237036,2.1983847135176275,2.2169939966850407,2.186406052293707
2021-10-29,2.330049593305134,2.5015598177188214,1.883685082481164,2.1135174676113313,2.338930367705288,2.3357972827341165,2.314218306285589
2021-11-30,2.287642690706981,2.476297159665847,1.8463554122456531,2.043211439354517,2.2633666611026615,2.293879271996816,2.22606224081772
2021-12-31,2.3677101848817252,2.5995183594950575,1.9545665979325137,2.1341789132621245,2.38524223659695,2.3878412427740634,2.3521545771665266
2022-01-31,2.231803620269514,2.547034075368555,1.9190309623836805,2.0498290286429777,2.2949003639229986,2.2937359857333326,2.2707070939027587
2022-02-28,2.182257579899531,2.552552786811148,1.8998918799665505,2.0488231545553433,2.313356232580218,2.311660410209883,2.2753865765267633
2022-03-31,2.2538356285202354,2.6029642863288815,1.958811527126877,2.1212991794777327,2.3644617389151676,2.3803454233926624,2.315293966211634
2022-04-29,2.048961969887746,2.5150849711172847,1.866576433034307,1.968630109033341,2.1975115714765363,2.244093710141852,2.122101911891224
2022-05-31,2.047117904114847,2.5295440847971533,1.9121347449658395,2.0140574702179546,2.223834793390025,2.2889987672841228,2.1688732889866236
2022-06-30,1.8751600001692,2.305020406070941,1.7022210085623872,1.7974759827400075,2.0231639478835763,2.04592191945005,1.9378479275066374
2022-07-29,2.049924912184969,2.505399540436535,1.8402002380773144,2.0071824206926485,2.205627458020179,2.281554127245374,2.106539124103645
2022-08-31,1.9765376003287474,2.4525660885220915,1.7928566651771751,1.9446726721607868,2.146892598641193,2.194252722328386,2.05544275246359
2022-09-30,1.7964750249387986,2.252850837780243,1.6231181330175788,1.760848005783023,1.944635065949977,1.984160108519973,1.8682031653315796
2022-10-31,1.9436063294812864,2.487339965909899,1.7929739903844428,1.9329459852364044,2.1413465228224466,2.2057507940223973,2.090265569453084
2022-11-30,2.04292461291778,2.6431498801723463,1.8923123587949575,2.0414921700991617,2.2986938266610784,2.3296175190246533,2.2460043785229447
2022-12-30,1.9209620135265884,2.4907764380956627,1.8203029289914479,1.9514298184454406,2.187836747136091,2.218107651476298,2.156762861426976
