date,High prosperity,High planet,High people,Low people
2017-08-31,0.20247193281920006,0.28289905960004624,0.906341615634499,0.19402583709148288
2017-09-29,0.2214665541173669,0.30730023841940696,0.7478827953338629,0.20896311378035648
2017-10-31,0.23823587875909785,0.3154567333040812,0.6772012680442681,0.2094631857556327
2017-11-30,0.30341572146607976,0.347931349141364,0.6409790491998488,0.2654525116547338
2017-12-29,0.2473547178361986,0.3580060195291687,0.6115803602375817,0.2391242333255464
2018-01-31,-0.08024202963645771,0.41213215066609976,0.7236304297968353,0.3436338401868979
2018-02-28,-0.3041218329463643,0.3997127224746523,0.5718118785340642,0.3445257001532374
2018-03-29,-0.29248844370292704,0.5394862965783884,0.6139699262663865,0.4291949115810712
2018-04-30,-0.39810593089521074,0.405596747510137,0.29384788788160443,0.31311176399056107
2018-05-31,-0.3521545243917821,0.39939971214012193,0.2805361674232528,0.28256721135047214
2018-06-29,-0.44450908192565713,0.3087281587334896,0.1583076363380443,0.24856413276594796
2018-07-31,-0.4330338037562516,0.3642763704091459,0.16390613796497377,0.2768288086586293
2018-08-31,-0.3072140753464673,0.4811750128834492,0.19843115834273567,0.4104707657953042
2018-09-28,-0.3219002502743737,0.4047153140709452,0.1635393533598729,0.3230338698054432
2018-10-31,-0.48472727796171,-0.13482581989448128,0.07093759934544153,-0.10129942826529637
2018-11-30,-0.48501862352126257,0.12144436742913645,-0.1242330935781395,-0.008971262942461755
2018-12-31,-0.4497940511652395,0.13815073125594868,-0.21408791552887463,0.09931950915858956
2019-01-31,-0.3715223453268979,0.20906078464733047,-0.24785247060453786,0.15088257969489294
2019-02-28,-0.35813735911843736,0.22836766969803923,-0.2596330085376388,0.18613549743555668
2019-03-29,-0.3884986511768165,0.19518356407899629,-0.25719978023634693,0.1543148254306328
2019-04-30,-0.3189624631481087,0.19743294006018974,-0.27294779910438793,0.13403403066874542
2019-05-31,-0.36801463294574643,0.2337982446926159,-0.36901864150427405,0.1537931417257793
2019-06-28,-0.19692736729618088,0.31537424868995,-0.2584866701313447,0.2880761502689262
2019-07-31,-0.1714017827103813,0.3889717689135812,-0.1716450421828707,0.25702125904901474
2019-08-30,-0.1493934284085804,0.39215463265884765,-0.21274983784896728,0.251812665617678
2019-09-30,0.020382811194434858,0.39490102933455207,-0.05371678805332236,0.22041956704763538
2019-10-31,-0.061691963024037344,0.3197626568995965,-0.09775294639350107,0.16983850472575868
2019-11-29,-0.06107040408309106,0.2939659385346517,-0.19643918642078295,0.15821447795791627
2019-12-31,-0.01613373880403196,0.17863855562349162,-0.19020562427705345,0.07420080198067913
2020-01-31,-0.017455681562678516,0.16165432368135246,-0.18679491352972843,0.07085033359360648
2020-02-28,-0.00023831453158451588,0.15384429883406625,-0.2917259279198997,0.04636022806300144
2020-03-31,-0.036058109417018924,-0.1410212595973288,-0.38985938555303346,-0.10131844046691363
2020-04-30,0.046861450540119254,-0.05521213912893841,-0.07688087944515498,-0.014361428454423564
2020-05-29,0.14053071771970593,0.04446724840298466,-0.04177615423035008,0.11645146884459501
2020-06-30,-0.005976315595520365,0.06410544148654207,-0.16412014050856127,0.12741992614685094
2020-07-31,0.03756261807411265,0.06405423602441562,-0.13824820941188598,0.13904649202505226
2020-08-31,0.08295208300004209,0.18066767508889625,-0.10345994741746511,0.24098279392526267
2020-09-30,0.2234476095963811,0.42459086045802175,-0.033761551792987454,0.4490555799667889
2020-10-30,0.3872026092082567,0.8162641153568759,-0.38165843885268796,0.6578517875798227
2020-11-30,0.29205679306178556,0.47182566501554074,-0.20745985415941037,0.43335445198755734
2020-12-31,0.283527159008783,0.5775947041391788,-0.4903242328617503,0.4444890074892269
2021-01-29,0.20539411255958648,0.3723432212941683,-0.44024171900714715,0.2893921710915079
2021-02-26,-0.08179580448685192,0.5605794939301804,-0.437364922636462,0.3668406112765306
2021-03-31,-0.025599806566062422,0.7603585252517326,-0.511155900715641,0.521609747420418
2021-04-30,-0.06584870015626104,0.7648702407053936,-0.48312988112866284,0.5714531308939489
2021-05-28,0.1252141420810863,0.754657032648602,-0.5105195878197284,0.5171742687492656
2021-06-30,0.028405546327640363,0.6196778386600172,-0.528741343332815,0.38394502190662544
2021-07-30,0.002583705991789323,0.605093035222364,-0.65264483168027,0.40250153921562337
2021-08-31,-0.0540232252681524,0.5656767120338,-0.6853882083736786,0.35441353619871263
2021-09-30,0.01465666384852421,0.5647430268870699,-0.7427646217723266,0.3109424498829214
2021-10-29,0.07475916400495897,0.5859656679341834,-0.6903680222387081,0.31819712490869023
2021-11-30,0.022228491402504547,0.4512532247732592,-0.6430192615267596,0.18482532888929282
2021-12-31,0.06216391484852074,0.5004862007107133,-0.6365467806456172,0.23054172574682202
2022-01-31,-0.02621510125155213,0.3589747139491432,-0.6719120427014741,0.12648126310791175
2022-02-28,0.21657822588820252,0.33082999461673057,-0.4589966086512305,0.13299260580681138
2022-03-31,0.3467809950632115,0.22184639835264736,-0.6496412179378078,0.18603179627325483
2022-04-29,0.4325836531015175,0.34834844999092085,-0.35355215445651755,0.28992136975733407
2022-05-31,0.3274150126664181,0.22660519678240082,-0.3922554756425067,0.18625332352933133
2022-06-30,0.25960045220935224,0.06190898498111941,-0.13451732608355216,0.07247834974601289
2022-07-29,0.3551606640800886,0.07897846873341291,-0.1381879882086453,0.11044781675428145
