date,Market,High prosperity,High planet,High people,Low people
2016-06-30,1.254598086473403,1.3138015384623276,1.3758989277564597,1.5226595821942253,1.2946920357081975
2016-07-29,1.304029251080455,1.3621755327602671,1.4299293033377374,1.5667173342507106,1.3520818620120232
2016-08-31,1.3098973827103169,1.3408779296753057,1.4211436786740155,1.575811295846148,1.340794345024221
2016-09-30,1.314613013288074,1.3406579040012225,1.4311187066152955,1.5802828258359356,1.354354771286705
2016-10-31,1.287926369118326,1.3061064383206489,1.4184887089066651,1.5786239720503836,1.348691572366925
2016-11-30,1.34652701891321,1.378886064327735,1.4724341586354084,1.6946644636060668,1.419736499995405
2016-12-30,1.3707645052536477,1.396626941847333,1.5010267990422537,1.72326808876024,1.4361018273839747
2017-01-31,1.400510095017652,1.4332677526184212,1.541612176516789,1.79114186135121,1.4747721577181063
2017-02-28,1.4464468261342307,1.4703447088353705,1.5915858790516006,1.8197522381379767,1.5118626150297552
2017-03-31,1.4499182985169528,1.4825995773746041,1.610103864327849,1.8170874217589883,1.5270681609218804
2017-04-28,1.4628225713737535,1.4766882177971856,1.6220116508836384,1.8342937808258566,1.5232845491254667
2017-05-31,1.4773045148303536,1.4815019212956237,1.6288439257005483,1.898985958587486,1.5145598585466364
2017-06-30,1.4928162122360722,1.4834378460125954,1.658726707463906,1.9157724753990921,1.5277448252684809
2017-07-31,1.523269662965688,1.5165306904951583,1.6681715552244267,1.9367932656953049,1.5686458918060906
2017-08-31,1.5255545674601363,1.5108548894864766,1.689321654177815,1.932279664014614,1.5915595743439517
2017-09-29,1.5647613198438615,1.5563694539651243,1.7282903757581753,1.9535917982187359,1.635549088603686
2017-10-31,1.5971518791646293,1.5827243348127344,1.7569972677111805,1.956669548216152,1.6655147868653115
2017-11-30,1.644427574787902,1.621948119987671,1.8140272542103129,2.0459597882918024,1.7198797962982177
2017-12-29,1.6653118049877083,1.623826263186066,1.8566042572834045,2.075509698446308,1.7473974597102162
2018-01-31,1.7542394553740521,1.6802289821020944,1.9221497976527657,2.11932644519219,1.8224359291518804
2018-02-28,1.6868766602876886,1.6113505119779599,1.8711307208121666,2.0152566677758617,1.7698884207368404
2018-03-29,1.6522956887517908,1.5732214500065467,1.8714017446549567,2.0011850643448748,1.7533434719423833
2018-04-30,1.6603919376266747,1.5607575005119647,1.8452084987601898,1.9659022271817224,1.7353857533957002
2018-05-31,1.7043923239737815,1.578571533485058,1.858504646616341,1.9891045479016425,1.740056801845226
2018-06-29,1.7134256032908426,1.5995063669741918,1.859409715618489,2.003444945454356,1.7492469337549106
2018-07-31,1.7694546205184531,1.6471422648917555,1.9369081984129233,2.0696150155409603,1.812413535642641
2018-08-31,1.8269618956853029,1.6605991682893406,1.9218837363254044,2.070900950891345,1.7918838750668893
2018-09-28,1.830798515666242,1.652907598421683,1.9156899568237113,2.0651092646207236,1.7907933155639006
2018-10-31,1.6912916687724744,1.5035681147444628,1.7382124819038407,1.9502786564916395,1.6453013021842988
2018-11-30,1.721734918810379,1.5380653883421906,1.8439813487211967,1.9753798777721026,1.7146968069905608
2018-12-31,1.5610970508853708,1.3866367810111373,1.6720363626772325,1.797416936729436,1.5666672503191885
2019-01-31,1.6984735913632836,1.540116098832538,1.8554021645962915,1.939801167207137,1.7219158445207576
2019-02-28,1.759109098574953,1.597250996377078,1.938373568681996,1.9694310805257984,1.7932040445879989
2019-03-29,1.7791629422987074,1.6093763696340262,1.946377901104466,2.0027873690186118,1.8129304557421133
2019-04-30,1.8522865392271841,1.6943390737461752,2.0374023473442167,2.075919594926976,1.881449685296768
2019-05-31,1.729850398984267,1.5456800430207949,1.9122938145340826,1.9183585887724424,1.7614280215239402
2019-06-28,1.8538806725914392,1.697523262729741,2.092769711591746,2.093432998279951,1.9289882383585177
2019-07-31,1.8772395690660912,1.7282286688807924,2.117861889237224,2.1388423897220776,1.9475222460389392
2019-08-30,1.8336876110637579,1.6958426038561234,2.100187470757545,2.036465113660895,1.9316201678124056
2019-09-30,1.864860300451842,1.771543376707134,2.139604786798517,2.099082205509963,1.97902288883461
2019-10-31,1.9017845344007887,1.7672194111798478,2.142352968551977,2.092902488156189,1.9902311334593092
2019-11-29,1.9763344881493,1.8198970111437178,2.210022751061056,2.13941085119385,2.0608665736983656
2019-12-31,2.0342410886520748,1.8856171245707685,2.2623958684168075,2.2179471025223325,2.1046097689224053
2020-01-31,2.0299691823659054,1.8430209721780888,2.2765675504507232,2.1425946420002315,2.089792445917992
2020-02-28,1.8653386816760305,1.677140706820252,2.1027264489498387,1.9031006391656904,1.9233246942799418
2020-03-31,1.6047508678458888,1.3728304022240256,1.8354511067744435,1.4956922461328352,1.6377831732889911
2020-04-30,1.8186641585297458,1.553139187187807,2.0506033284037457,1.760754086064299,1.8289763655872098
2020-05-29,1.9179632215854698,1.6391409744276393,2.161269601360333,1.8352183307447267,1.9230147126323
2020-06-30,1.9647615241921552,1.6410023836516412,2.203152036058976,1.8272686064916004,1.9642156602724312
2020-07-31,2.0771458833759464,1.7039170719238146,2.3071848360651206,1.9191717870249627,2.0404040222645867
2020-08-31,2.2318932516874543,1.794797855619961,2.4268378380651483,2.0186994863329404,2.145518666983445
2020-09-30,2.150429148000862,1.7506249973797843,2.4257179242846796,1.9364783691742775,2.139001303307101
2020-10-30,2.105270135892844,1.7345310647459244,2.444080783478118,1.8802808210756166,2.1504673038726514
2020-11-30,2.3692710109338067,1.9647255674275954,2.712795334106204,2.2215354948812283,2.399887689107891
2020-12-31,2.478494404537855,2.0426261540773214,2.806021444183936,2.2997088171254254,2.4752832243068763
2021-01-29,2.4710589213242415,2.0413647827137966,2.7623497096902403,2.2976560220308584,2.4514031452420912
2021-02-26,2.549885700914485,2.112201483335537,2.9266169407836458,2.449259758886451,2.585085349098493
2021-03-31,2.6396416775866745,2.256355439628333,3.1441425897421067,2.6152801829048955,2.7747119111568757
2021-04-30,2.7750552956468706,2.3661794213055662,3.316375940284822,2.7420048023819943,2.931438884442422
2021-05-28,2.7942031771868336,2.458005601555461,3.3615681121774896,2.8526309299957715,2.959162911668915
2021-06-30,2.858749270579849,2.428173197749328,3.3077620098613547,2.8440196874266315,2.9031883806880434
2021-07-30,2.8939118866079814,2.4507676501705724,3.3327406043104144,2.8013057991328147,2.9379849580477613
2021-08-31,2.9752308106216656,2.5188841510466875,3.4305782476121203,2.8461486542346814,3.0330747757304977
2021-09-30,2.8478909319270587,2.4852681274334802,3.3115462792740855,2.68768143002268,2.9182218088688887
2021-10-29,3.0378452570865933,2.6215948330289103,3.441789143566655,2.861879937640774,3.043643406355768
2021-11-30,2.9825564734076173,2.541660168817532,3.3179591738023406,2.7749053289796737,2.931081215457855
2021-12-31,3.086945949976884,2.6997021639741936,3.4785734922664187,2.9339962830914605,3.0645811959661473
2022-01-31,2.909755252448211,2.6090995605887035,3.3761018672765655,2.8083781433532944,2.96764667488386
2022-02-28,2.8451586858438604,2.682404283801014,3.3073909247232445,2.8720921804081962,2.9310113737662493
2022-03-31,2.938479890739539,2.765528961415265,3.457884986894726,2.9978789396751626,3.0707710297661825
2022-04-29,2.671372068671315,2.6280949189554184,3.302902995648734,2.8329308715648174,2.9199481383198007
2022-05-31,2.668967833809511,2.6894004354318386,3.341514341226393,2.8678223756787,2.9468389278346434
2022-06-30,2.444774535769512,2.416390920892519,3.0234728409554577,2.5768870240527955,2.6826799901116756
2022-07-29,2.6726275225032303,2.622643004629514,3.242865684313128,2.79299701232266,2.87279354451066
2022-08-31,2.576947457197615,2.548053141767514,3.1505879334062112,2.693014689043787,2.7945640604676374
2022-09-30,2.3421875438469124,2.3190991261713543,2.8140105813502836,2.4677848569698604,2.487684706853103
2022-10-31,2.5340127036879747,2.5762731473327354,3.0795085498331667,2.7251491475564364,2.753322841603768
2022-11-30,2.66350075284643,2.7137165128158807,3.3160938099174238,2.8893967439939012,2.9566233321904978
2022-12-30,2.5044897579014984,2.5808150316522083,3.1999581577230765,2.7608171203596794,2.8356571839613394
2023-01-31,2.6828094286640853,2.7598541053165655,3.4426063666468116,2.934083073238801,3.081820775812022
2023-02-28,2.6200316880333454,2.6632204585454144,3.34929337903048,2.8321403280652735,2.9982718323764663
2023-03-31,2.689462527766229,2.623745748221475,3.3861637210229687,2.832892125314191,3.0133688969797876
2023-04-28,2.7174329380549977,2.6377551489039197,3.3982373731173845,2.8793180126098052,3.015354649282707
2023-05-31,2.7244982636939405,2.498687417808853,3.3124607280566076,2.7460242705663465,2.9218594601501158
2023-06-30,2.9119437442360834,2.70983526850479,3.6315960419105235,2.9715144171575285,3.223062307420217
2023-07-31,3.0167737190285826,2.8207135857044188,3.759642271601524,3.1013544868304943,3.3461321922210407
2023-08-31,2.9567399220199135,2.762447768377027,3.6550659983467164,3.0590856259473913,3.2378544298136007
2023-09-29,2.8189558416537857,2.6583225293877706,3.4745061065093275,2.9357834426193827,3.069639995863853
2023-10-31,2.7383337045824874,2.577390346314681,3.302745851980677,2.8452821898025396,2.9277165742620634
2023-11-30,2.9916295722563677,2.8161107415902507,3.594038215703377,3.0790166754790707,3.194004092246272
2023-12-29,3.1495876136715037,2.983620811278631,3.8239118580925036,3.247321002196993,3.4170550469393772
2024-01-31,3.183918118660523,2.948524779609635,3.785712357257577,3.2352355617906845,3.392081003543418
2024-02-29,3.3510738198902006,3.084121476686131,3.987863540896556,3.3787156205824873,3.5986019231155932
2024-03-28,3.4609890411825988,3.2408200732625896,4.232731990163721,3.5337072949492816,3.7922540793586608
2024-04-30,3.3163196992611663,3.072960637061845,4.0889108975826876,3.374792817370179,3.637393613686041
2024-05-31,3.471523461186589,3.1828985674820474,4.225103974848628,3.4451937363728162,3.7694061087494775
2024-06-28,3.5701147274842877,3.193775766129842,4.195481298735223,3.4160193226321174,3.7615262926328557
2024-07-31,3.639017941724734,3.3859684769579443,4.380680060001916,3.6516579099324553,3.9284972429418996
2024-08-30,3.7176207292659877,3.469231666711684,4.432148567058062,3.7032977330293155,4.020628739063891
2024-09-30,3.7960625266534995,3.542204326456759,4.548643084551959,3.7075948367213027,4.113425981228325
2024-10-31,3.770249301472256,3.5285739934794265,4.557283487078316,3.6512808009695776,4.06396306384218
2024-11-29,4.027003278902517,3.7948130939822513,4.892535159085208,3.9237667112036956,4.352594618165896
2024-12-31,3.9029715779123193,3.5056299839978577,4.564110760626509,3.6358380147063096,4.064888857894835
