date,Market,High transformation,High esg_refinitive,High preparation,Low advocacy
2021-09-30,2.184353232685042,2.61142675446879,2.1003519885950523,2.0078020258758262,2.131240355834352
2021-10-29,2.330049593305134,2.7231639359800637,2.2528238278292085,2.116986254665841,2.2155694359612643
2021-11-30,2.287642690706981,2.657018726762397,2.196782688188099,2.0753433269334147,2.1551107534911655
2021-12-31,2.3677101848817252,2.822107906441995,2.319948868118787,2.189028149877305,2.2678295374004644
2022-01-31,2.231803620269514,2.7126501213591623,2.2107868342468557,2.078152672721808,2.206795920009845
2022-02-28,2.182257579899531,2.7141955945001746,2.20204020892259,2.073696316337233,2.186716075631962
2022-03-31,2.2538356285202354,2.8500632254027956,2.263107448143776,2.127108440705941,2.2662709323946335
2022-04-29,2.048961969887746,2.6792919086692573,2.0959120011474486,2.003746973067505,2.127751533181004
2022-05-31,2.047117904114847,2.716445249190035,2.1245069225405055,2.0619910121240923,2.1723680542962436
2022-06-30,1.8751600001692,2.420159867599269,1.9255513479360387,1.8375985019441978,1.9095967353787502
2022-07-29,2.049924912184969,2.6504438358439137,2.097827082760165,2.013838454795863,2.081206426080879
2022-08-31,1.9765376003287474,2.579376168108452,2.037171293282007,1.9559926465124187,2.046607276015683
2022-09-30,1.7964750249387986,2.3292331902450556,1.8376357188559747,1.76219658696474,1.846459455484221
2022-10-31,1.9436063294812864,2.5597201265247453,2.0644568321223518,1.9397194539178788,2.0603369966071634
2022-11-30,2.04292461291778,2.7248079391037985,2.2292464717566776,2.0505424026985306,2.1696555771775348
2022-12-30,1.9209620135265884,2.5905756483783686,2.1511522561122796,1.9551867647338323,2.072460674292251
